Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0	0	0	0	
5E-05	6.46049E-17	4.857226E-17	-2.602085E-18	
0.0001	-0.001078403	-0.001480817	-0.001046	
0.00015	-0.002452051	-0.003562325	-0.001866971	
0.0002	-0.00383805	-0.005873994	-0.002447454	
0.00025	-0.005206541	-0.008278831	-0.002896425	
0.0003	-0.006562081	-0.01072097	-0.003283226	
0.00035	-0.007909813	-0.01317621	-0.003642608	
0.0004	-0.009252551	-0.0156337	-0.003990914	
0.00045	-0.01059161	-0.01808843	-0.004335699	
0.0005	-0.01192754	-0.02053801	-0.00468047	
0.00055	-0.01326059	-0.02298127	-0.005026877	
0.0006	-0.01459084	-0.02541756	-0.005375719	
0.00065	-0.01591832	-0.02784655	-0.005727387	
0.0007	-0.01724304	-0.030268	-0.006082082	
0.00075	-0.01856501	-0.03268179	-0.006439901	
0.0008	-0.01988424	-0.03508783	-0.006800888	
0.00085	-0.02120074	-0.03748604	-0.007165054	
0.0009	-0.02251453	-0.03987641	-0.007532387	
0.00095	-0.02382563	-0.04225888	-0.007902863	
0.0009999999	-0.02513406	-0.04463348	-0.008276447	
0.00105	-0.02643983	-0.04700018	-0.008653096	
0.0011	-0.02774296	-0.04935901	-0.009032764	
0.00115	-0.02904347	-0.05170998	-0.009415396	
0.0012	-0.03034136	-0.05405311	-0.009800937	
0.00125	-0.03163665	-0.05638844	-0.01018933	
0.0013	-0.03292934	-0.05871599	-0.01058052	
0.00135	-0.03421944	-0.06103579	-0.01097444	
0.0014	-0.03550694	-0.0633479	-0.01137104	
0.00145	-0.03679185	-0.06565235	-0.01177024	
0.0015	-0.03807416	-0.06794918	-0.01217201	
0.00155	-0.03935385	-0.07023843	-0.01257626	
0.0016	-0.04063094	-0.07252015	-0.01298294	
0.00165	-0.0419054	-0.0747944	-0.013392	
0.0017	-0.04317724	-0.0770612	-0.01380336	
0.00175	-0.04444642	-0.07932062	-0.01421699	
0.0018	-0.04571296	-0.08157269	-0.0146328	
0.00185	-0.04697683	-0.08381747	-0.01505076	
0.0019	-0.04823802	-0.08605499	-0.0154708	
0.00195	-0.04949654	-0.0882853	-0.01589287	
0.002	-0.05075237	-0.09050846	-0.01631692	
0.00205	-0.0520055	-0.0927245	-0.01674288	
0.0021	-0.05325593	-0.09493347	-0.01717071	
0.00215	-0.05450365	-0.0971354	-0.01760036	
0.0022	-0.05574865	-0.09933034	-0.01803178	
0.00225	-0.05699094	-0.1015183	-0.01846491	
0.0023	-0.0582305	-0.1036994	-0.01889971	
0.00235	-0.05946735	-0.1058737	-0.01933612	
0.0024	-0.06070147	-0.108041	-0.01977411	
0.00245	-0.06193287	-0.1102016	-0.02021363	
0.0025	-0.06316156	-0.1123555	-0.02065466	
0.00255	-0.06438758	-0.1145026	-0.02109719	
0.0026	-0.06561094	-0.1166431	-0.02154118	
0.00265	-0.06683163	-0.1187769	-0.02198661	
0.0027	-0.06804966	-0.1209041	-0.02243342	
0.00275	-0.06926504	-0.1230248	-0.02288158	
0.0028	-0.07047775	-0.1251389	-0.02333105	
0.00285	-0.07168781	-0.1272465	-0.02378179	
0.0029	-0.07289521	-0.1293476	-0.02423376	
0.00295	-0.07409997	-0.1314423	-0.02468692	
0.003	-0.07530206	-0.1335306	-0.02514124	
0.00305	-0.07650152	-0.1356125	-0.02559669	
0.0031	-0.07769832	-0.1376881	-0.02605322	
0.00315	-0.07889248	-0.1397573	-0.0265108	
0.0032	-0.08008399	-0.1418203	-0.02696941	
0.00325	-0.08127286	-0.143877	-0.027429	
0.0033	-0.08245908	-0.1459275	-0.02788954	
0.00335	-0.08364268	-0.1479719	-0.02835101	
0.0034	-0.08482362	-0.15001	-0.02881337	
0.00345	-0.08600194	-0.1520421	-0.02927659	
0.0035	-0.08717762	-0.154068	-0.02974064	
0.00355	-0.08835067	-0.1560879	-0.0302055	
0.0036	-0.08952108	-0.1581017	-0.03067113	
0.00365	-0.09068887	-0.1601095	-0.03113751	
0.0037	-0.09185404	-0.1621113	-0.03160461	
0.00375	-0.09301657	-0.1641072	-0.03207241	
0.0038	-0.09417649	-0.1660971	-0.03254088	
0.00385	-0.09533379	-0.1680812	-0.03300998	
0.0039	-0.09648848	-0.1700593	-0.03347971	
0.00395	-0.09764054	-0.1720316	-0.03395003	
0.004	-0.09879	-0.1739981	-0.03442092	
0.00405	-0.09993686	-0.1759588	-0.03489236	
0.0041	-0.1010811	-0.1779137	-0.03536432	
0.00415	-0.1022228	-0.1798628	-0.03583679	
0.0042	-0.1033618	-0.1818062	-0.03630973	
0.00425	-0.1044983	-0.1837439	-0.03678314	
0.0043	-0.1056322	-0.185676	-0.03725699	
