Time	LH_BicepsFemorisAnterior R	LH_BicepsFemorisPosterior R	LH_Gastrocnemius R	LH_Illiopsoas R	LH_RectusFemoris R	LH_Soleus R	LH_TibialisAnterior R	LH_Vastii R	
0	0.4755981	0.4360601	0.4826072	0.1323111	0.4486712	0.4268101	0.4602294	0.3780081	
5E-05	0.4755981	0.4360601	0.4828821	0.132699	0.4486828	0.4268101	0.4606025	0.3780081	
0.0001	0.4755981	0.4360601	0.4831547	0.1330809	0.4486591	0.4268101	0.4672734	0.3783284	
0.00015	0.4761823	0.4367615	0.4834007	0.131917	0.4486591	0.4268101	0.4693432	0.378558	
0.0002	0.4773072	0.4387772	0.4836639	0.131917	0.4486591	0.4269611	0.4699093	0.3786387	
0.00025	0.4784788	0.4412546	0.4840123	0.131917	0.4486591	0.4272244	0.4700178	0.3786551	
0.0003	0.4796565	0.4439416	0.4844089	0.131917	0.4486591	0.4274866	0.4699498	0.3786455	
0.00035	0.4808225	0.4467105	0.4848273	0.131917	0.4486591	0.4277475	0.4698042	0.3786267	
0.0004	0.4819689	0.4495012	0.4852547	0.131917	0.4486591	0.4280059	0.4696203	0.3786066	
0.00045	0.4830935	0.4522827	0.4856822	0.131917	0.4486591	0.4282611	0.4694138	0.3785881	
0.0005	0.4841946	0.4550397	0.4861083	0.131917	0.4486591	0.4285146	0.4691949	0.378572	
0.00055	0.4852712	0.4577631	0.4865301	0.131917	0.4486591	0.4287656	0.4689655	0.3785586	
0.0006	0.4863255	0.4604483	0.4869478	0.131917	0.4486591	0.4290145	0.4687308	0.3785484	
0.00065	0.4873563	0.4630924	0.4873606	0.131917	0.4486591	0.4292622	0.4684913	0.3785409	
0.0007	0.4883648	0.4656932	0.4877683	0.131917	0.4486591	0.4295073	0.4682482	0.3785366	
0.00075	0.4893513	0.4682503	0.4881716	0.131917	0.4486591	0.4297515	0.468004	0.3785349	
0.0008	0.4903164	0.4707614	0.4885702	0.131917	0.4486591	0.4299944	0.4677566	0.3785352	
0.00085	0.4912612	0.4732276	0.4889633	0.131917	0.4486591	0.4302364	0.467509	0.3785394	
0.0009	0.4921852	0.4756486	0.4893529	0.131917	0.4486591	0.4304775	0.4672623	0.3785451	
0.00095	0.4930897	0.4780246	0.4897369	0.131917	0.4486591	0.4307172	0.4670153	0.3785535	
0.0009999999	0.4939752	0.480355	0.4901167	0.131917	0.4486591	0.4309568	0.4667684	0.3785642	
0.00105	0.4948417	0.4826411	0.4904916	0.131917	0.4486591	0.431195	0.4665221	0.3785773	
0.0011	0.49569	0.484883	0.490862	0.131917	0.4486591	0.431432	0.4662777	0.3785926	
0.00115	0.4965201	0.4870814	0.4912278	0.131917	0.4486591	0.4316688	0.4660346	0.3786092	
0.0012	0.497333	0.4892372	0.4915898	0.131917	0.4486591	0.431905	0.4657937	0.3786288	
0.00125	0.4981282	0.4913502	0.4919476	0.131917	0.4486591	0.4321407	0.4655548	0.3786499	
0.0013	0.4989069	0.4934209	0.4922999	0.131917	0.4486591	0.4323751	0.4653178	0.3786725	
0.00135	0.4996692	0.4954515	0.4926488	0.131917	0.4486591	0.4326093	0.4650826	0.3786963	
0.0014	0.5004151	0.4974412	0.4929927	0.131917	0.4486591	0.4328427	0.464849	0.3787224	
0.00145	0.5011455	0.4993913	0.4933327	0.131917	0.4486591	0.4330748	0.4646184	0.3787493	
0.0015	0.5018598	0.5013021	0.4936684	0.131917	0.4486591	0.4333071	0.4643903	0.3787776	
0.00155	0.5025594	0.5031735	0.4940003	0.131917	0.4486591	0.4335384	0.464164	0.3788072	
0.0016	0.5032437	0.5050079	0.4943278	0.131917	0.4486591	0.4337689	0.4639407	0.3788374	
0.00165	0.5039136	0.5068056	0.4946501	0.131917	0.4486591	0.4339989	0.4637191	0.3788692	
0.0017	0.5045692	0.5085664	0.4949692	0.131917	0.4486591	0.4342276	0.4634999	0.3789018	
0.00175	0.5052102	0.5102916	0.4952837	0.131917	0.4486591	0.4344558	0.4632821	0.3789351	
0.0018	0.5058376	0.5119817	0.4955947	0.131917	0.4486591	0.4346834	0.4630668	0.3789692	
0.00185	0.5064515	0.5136374	0.4959014	0.131917	0.4486591	0.4349106	0.4628538	0.3790036	
0.0019	0.5070524	0.5152587	0.4962035	0.131917	0.4486591	0.4351364	0.4626429	0.3790396	
0.00195	0.5076409	0.5168477	0.4965023	0.131917	0.4486591	0.4353614	0.4624336	0.3790752	
0.002	0.508216	0.5184042	0.4967973	0.131917	0.4486591	0.4355863	0.4622275	0.3791119	
0.00205	0.5087792	0.5199283	0.497087	0.131917	0.4486591	0.4358096	0.4620211	0.3791493	
0.0021	0.5093299	0.5214217	0.4973739	0.131917	0.4486591	0.436032	0.461817	0.3791872	
0.00215	0.5098691	0.5228843	0.4976568	0.131917	0.4486591	0.4362546	0.4616155	0.3792254	
0.0022	0.5103968	0.5243171	0.4979361	0.131917	0.4486591	0.4364756	0.4614153	0.3792644	
0.00225	0.510913	0.5257205	0.4982114	0.131917	0.4486591	0.4366954	0.461217	0.3793037	
0.0023	0.5114186	0.527095	0.4984836	0.131917	0.4486591	0.4369155	0.4610209	0.3793434	
0.00235	0.5119131	0.5284414	0.4987516	0.131917	0.4486591	0.4371338	0.4608259	0.3793842	
0.0024	0.5123974	0.5297601	0.4990164	0.131917	0.4486591	0.4373522	0.4606324	0.3794249	
0.00245	0.5128714	0.5310519	0.4992774	0.131917	0.4486591	0.4375693	0.46044	0.3794657	
0.0025	0.5133349	0.5323173	0.4995358	0.131917	0.4486591	0.4377859	0.4602509	0.379508	
0.00255	0.5137892	0.5335563	0.49979	0.131917	0.4486591	0.4380013	0.4600622	0.3795502	
0.0026	0.5142341	0.53477	0.5000409	0.131917	0.4486591	0.4382162	0.4598752	0.3795936	
0.00265	0.5146692	0.5359588	0.5002889	0.131917	0.4486591	0.4384299	0.4598521	0.3796369	
0.0027	0.5150951	0.5371227	0.500534	0.131917	0.4486591	0.4386431	0.4598521	0.3796802	
0.00275	0.5155128	0.5382633	0.5007751	0.131917	0.4486591	0.4388555	0.4598521	0.3797247	
0.0028	0.5159212	0.5393792	0.5010133	0.131917	0.4486591	0.439067	0.4598521	0.3797691	
0.00285	0.5163214	0.5404729	0.5012484	0.131917	0.4486591	0.4392781	0.4598521	0.3798146	
0.0029	0.516713	0.541544	0.5014806	0.131917	0.4486591	0.439488	0.4598521	0.3798601	
0.00295	0.5170967	0.5425929	0.5017101	0.131917	0.4486591	0.4396971	0.4598521	0.3799063	
0.003	0.5174722	0.54362	0.5019365	0.131917	0.4486591	0.4399056	0.4598521	0.3799525	
0.00305	0.5178404	0.5446253	0.5021594	0.131917	0.4486591	0.4401134	0.4598521	0.3799994	
0.0031	0.5182011	0.5456108	0.50238	0.131917	0.4486591	0.4403204	0.4598521	0.3800463	
0.00315	0.518554	0.5465755	0.5025973	0.131917	0.4486591	0.4405262	0.4598521	0.3800939	
0.0032	0.5188993	0.5475196	0.5028126	0.131917	0.4486591	0.4407318	0.4598521	0.3801414	
0.00325	0.5192383	0.5484443	0.5030246	0.131917	0.4486591	0.4409364	0.4598521	0.3801897	
0.0033	0.5195699	0.5493499	0.5032344	0.131917	0.4486591	0.44114	0.4598521	0.380238	
0.00335	0.5198947	0.5502368	0.5034416	0.131917	0.4486591	0.4413437	0.4598521	0.3802866	
0.0034	0.5202132	0.5511053	0.5036455	0.131917	0.4486591	0.4415461	0.4598521	0.3803356	
0.00345	0.5205251	0.5519555	0.5038469	0.131917	0.4486591	0.4417473	0.4598521	0.3803845	
0.0035	0.5208306	0.5527878	0.5040455	0.131917	0.4486591	0.4419482	0.4598521	0.3804342	
0.00355	0.5211297	0.5536028	0.5042424	0.131917	0.4486591	0.4421479	0.4598521	0.3804834	
0.0036	0.5214229	0.5544004	0.5044361	0.131917	0.4486591	0.4423475	0.4598521	0.3805337	
0.00365	0.52171	0.5551816	0.5046278	0.131917	0.4486591	0.4425459	0.4598521	0.3805833	
0.0037	0.5219919	0.5559467	0.5048163	0.131917	0.4486591	0.4427428	0.4598521	0.3806342	
0.00375	0.5222672	0.5566958	0.5050029	0.131917	0.4486591	0.4429397	0.4598521	0.3806841	
0.0038	0.5225377	0.5574285	0.5051875	0.131917	0.4486591	0.4431361	0.4598521	0.3807347	
0.00385	0.5228026	0.5581461	0.5053689	0.131917	0.4486591	0.4433314	0.4598521	0.3807856	
0.0039	0.5230619	0.5588488	0.5055485	0.131917	0.4486591	0.4435256	0.4598521	0.3808364	
0.00395	0.5233164	0.5595365	0.5057258	0.131917	0.4486591	0.4437197	0.4598521	0.3808876	
0.004	0.5235658	0.5602095	0.5059008	0.131917	0.4486591	0.4439122	0.4598521	0.3809395	
0.00405	0.52381	0.5608685	0.5060744	0.131917	0.4486591	0.4441051	0.4598521	0.3809903	
0.0041	0.5240493	0.5615135	0.5062438	0.131917	0.4486591	0.4442958	0.4598521	0.3810417	
0.00415	0.5242842	0.5621451	0.5064126	0.131917	0.4486591	0.4444861	0.4598521	0.3810935	
0.0042	0.5245142	0.5627627	0.5065787	0.131917	0.4486591	0.4446763	0.4598521	0.3811453	
0.00425	0.5247402	0.5633673	0.5067436	0.131917	0.4486591	0.4448654	0.4598521	0.381197	
0.0043	0.5249613	0.5639594	0.5069054	0.131917	0.4486591	0.4450533	0.4598521	0.3812487	
0.00435	0.525178	0.5645388	0.5070649	0.131917	0.4486591	0.4452409	0.4598521	0.3813011	
0.0044	0.5253907	0.5651053	0.5072233	0.131917	0.4486591	0.4454277	0.4598521	0.3813531	
0.00445	0.5255994	0.5656602	0.5073793	0.131917	0.4486591	0.4456134	0.4598521	0.3814051	
0.0045	0.5258036	0.5662031	0.5075336	0.131917	0.4486591	0.4457987	0.4598521	0.3814573	
0.00455	0.5260043	0.5667342	0.5076854	0.131917	0.4486591	0.4459829	0.4598521	0.3815096	
0.0046	0.526201	0.5672543	0.5078353	0.131917	0.4486591	0.4461663	0.4598521	0.3815618	
0.00465	0.5263937	0.5677631	0.5079834	0.131917	0.4486591	0.4463493	0.4598521	0.3816139	
0.0047	0.5265827	0.5682604	0.5081293	0.131917	0.4486591	0.4465309	0.4598521	0.3816668	
0.00475	0.5267683	0.5687474	0.5082751	0.131917	0.4486591	0.4467129	0.4598521	0.3817193	
0.0048	0.5269504	0.5692239	0.5084173	0.131917	0.4486591	0.4468929	0.4598521	0.3817713	
0.00485	0.5271291	0.5696894	0.5085577	0.131917	0.4486591	0.4470723	0.4598521	0.3818237	
0.0049	0.527304	0.5701451	0.5086972	0.131917	0.4486591	0.4472516	0.4598521	0.3818764	
0.00495	0.527476	0.5705916	0.5088341	0.131917	0.4486591	0.4474292	0.4598521	0.3819291	
0.005	0.527644	0.571028	0.5089702	0.131917	0.4486591	0.4476071	0.4598521	0.3819813	
0.00505	0.5278101	0.571454	0.509104	0.131917	0.4486591	0.4477839	0.4598521	0.3820339	
