Time	LH_BicepsFemorisAnterior R	LH_BicepsFemorisPosterior R	LH_Gastrocnemius R	LH_Illiopsoas R	LH_RectusFemoris R	LH_Soleus R	LH_TibialisAnterior R	LH_Vastii R	
0	0	0	0.09405806	0.1261102	0.00669077	0	0.1008461	0	
5E-05	0	0	0.1870536	0.2502713	0.0131688	0	0.2005627	0	
0.0001	0	0	0.2792494	0.3725135	0	0	1.98365	0.03386054	
0.00015	0.04995072	0.1766194	0.3624439	0	0	0	2.536865	0.05813106	
0.0002	0.1461241	0.6841941	0.4514852	0	0	0.006454878	2.688184	0.06665972	
0.00025	0.2462961	1.308035	0.5693191	0	0	0.01770697	2.717191	0.06839685	
0.0003	0.3469798	1.984638	0.7034786	0	0	0.02891645	2.69901	0.06738113	
0.00035	0.4466695	2.681872	0.8450013	0	0	0.04006753	2.6601	0.06539366	
0.0004	0.5446858	3.384613	0.9895404	0	0	0.05111257	2.61092	0.06326476	
0.00045	0.6408413	4.085008	1.134171	0	0	0.06202	2.555751	0.06131012	
0.0005	0.7349833	4.779261	1.278264	0	0	0.07285396	2.497237	0.0596081	
0.00055	0.8270259	5.465043	1.420942	0	0	0.0835828	2.435907	0.05819741	
0.0006	0.9171723	6.141183	1.562219	0	0	0.09422276	2.373181	0.05711666	
0.00065	1.005302	6.806999	1.701857	0	0	0.104806	2.309169	0.05632555	
0.0007	1.091521	7.461908	1.839744	0	0	0.1152848	2.244181	0.05586269	
0.00075	1.175869	8.10581	1.976148	0	0	0.1257233	2.178924	0.05568777	
0.0008	1.258383	8.738132	2.110959	0	0	0.1361057	2.112799	0.05572117	
0.00085	1.339167	9.359153	2.243938	0	0	0.146448	2.046612	0.05615941	
0.0009	1.418159	9.968775	2.375734	0	0	0.1567504	1.980662	0.05676488	
0.00095	1.495492	10.56709	2.5056	0	0	0.1669971	1.914646	0.05765538	
0.0009999999	1.571201	11.1539	2.634059	0	0	0.177236	1.848665	0.0587907	
0.00105	1.645287	11.72957	2.760872	0	0	0.1874195	1.782816	0.06017019	
0.0011	1.717815	12.29411	2.88618	0	0	0.1975476	1.717497	0.06179318	
0.00115	1.788785	12.84767	3.009872	0	0	0.2076684	1.652502	0.06354076	
0.0012	1.858294	13.39054	3.13234	0	0	0.2177659	1.588129	0.06560967	
0.00125	1.926275	13.9226	3.253345	0	0	0.2278403	1.52427	0.06784138	
0.0013	1.992855	14.44403	3.37252	0	0	0.2378597	1.460921	0.07023543	
0.00135	2.058031	14.95536	3.490514	0	0	0.2478721	1.398077	0.07275198	
0.0014	2.1218	15.45638	3.606833	0	0	0.2578457	1.335632	0.07550893	
0.00145	2.184254	15.94743	3.721872	0	0	0.2677647	1.273981	0.07834797	
0.0015	2.245324	16.4286	3.835389	0	0	0.2776929	1.213018	0.08134771	
0.00155	2.305134	16.89983	3.947651	0	0	0.2875827	1.152536	0.08446831	
0.0016	2.363646	17.36175	4.058418	0	0	0.297434	1.09283	0.08767001	
0.00165	2.420917	17.81443	4.16745	0	0	0.307263	1.033593	0.09103142	
0.0017	2.476974	18.25781	4.275394	0	0	0.3170378	0.9750192	0.09447329	
0.00175	2.531775	18.69223	4.381757	0	0	0.3267906	0.9168038	0.09799539	
0.0018	2.585412	19.11782	4.486931	0	0	0.3365213	0.8592423	0.1015975	
0.00185	2.637905	19.53473	4.590674	0	0	0.3462301	0.8023285	0.10524	
0.0019	2.68928	19.943	4.692873	0	0	0.3558851	0.7459564	0.1090411	
0.00195	2.73959	20.34314	4.793921	0	0	0.3655025	0.6900208	0.1128031	
0.002	2.78876	20.73509	4.893703	0	0	0.3751142	0.6349169	0.1166839	
0.00205	2.83691	21.11887	4.991725	0	0	0.3846566	0.5797383	0.1206438	
0.0021	2.883995	21.4949	5.08876	0	0	0.3941617	0.525184	0.1246431	
0.00215	2.930101	21.8632	5.18444	0	0	0.4036775	0.471348	0.1286817	
0.0022	2.975214	22.224	5.278901	0	0	0.4131242	0.4178243	0.1327989	
0.00225	3.019356	22.57739	5.37203	0	0	0.422518	0.3648092	0.1369551	
0.0023	3.062576	22.9235	5.464091	0	0	0.4319228	0.3123978	0.1411502	
0.00235	3.104861	23.26254	5.554715	0	0	0.4412589	0.2602849	0.1454629	
0.0024	3.146262	23.59461	5.644294	0	0	0.4505903	0.2085672	0.1497747	
0.00245	3.186795	23.91991	5.732585	0	0	0.4598691	0.1571411	0.1540855	
0.0025	3.226415	24.23854	5.819979	0	0	0.4691275	0.1066027	0.1585531	
0.00255	3.265266	24.55053	5.905979	0	0	0.4783336	0.05614514	0.1630193	
0.0026	3.3033	24.85615	5.990849	0	0	0.4875194	0.006166649	0.1676024	
0.00265	3.3405	25.1555	6.074728	0	0	0.4966532	0	0.1721838	
0.0027	3.376916	25.44858	6.157623	0	0	0.5057669	0	0.1767635	
0.00275	3.412625	25.73577	6.239165	0	0	0.5148448	0	0.1814599	
0.0028	3.447546	26.01679	6.319745	0	0	0.5238868	0	0.1861542	
0.00285	3.481758	26.2922	6.399246	0	0	0.5329091	0	0.1909649	
0.0029	3.515243	26.56189	6.477803	0	0	0.5418799	0	0.1957733	
0.00295	3.548046	26.82605	6.555426	0	0	0.5508152	0	0.2006582	
0.003	3.580149	27.08466	6.631997	0	0	0.5597311	0	0.2055407	
0.00305	3.611629	27.33781	6.707399	0	0	0.5686118	0	0.2104995	
0.0031	3.642466	27.58596	6.782022	0	0	0.5774574	0	0.2154557	
0.00315	3.67264	27.8289	6.855494	0	0	0.5862519	0	0.220488	
0.0032	3.702164	28.06661	6.92833	0	0	0.5950435	0	0.2255175	
0.00325	3.731146	28.29946	7.000032	0	0	0.6037842	0	0.2306229	
0.0033	3.759501	28.52751	7.070989	0	0	0.6124902	0	0.2357254	
0.00335	3.787271	28.75084	7.14108	0	0	0.6211935	0	0.2408641	
0.0034	3.814501	28.96953	7.210063	0	0	0.6298463	0	0.2460392	
0.00345	3.841167	29.18362	7.2782	0	0	0.6384488	0	0.251211	
0.0035	3.867282	29.39321	7.34537	0	0	0.6470329	0	0.2564585	
0.00355	3.892854	29.59844	7.411963	0	0	0.6555668	0	0.2616631	
0.0036	3.917926	29.79929	7.47748	0	0	0.6640986	0	0.2669826	
0.00365	3.942476	29.996	7.542308	0	0	0.6725804	0	0.2722198	
0.0037	3.966576	30.18865	7.606074	0	0	0.6809965	0	0.2776112	
0.00375	3.990108	30.37728	7.669168	0	0	0.6894107	0	0.2828805	
0.0038	4.013241	30.56178	7.731596	0	0	0.6978072	0	0.2882252	
0.00385	4.035886	30.74247	7.792984	0	0	0.7061542	0	0.2936057	
0.0039	4.058053	30.91943	7.853723	0	0	0.7144517	0	0.2989824	
0.00395	4.079814	31.0926	7.913689	0	0	0.7227479	0	0.3043948	
0.004	4.101146	31.26204	7.972892	0	0	0.7309788	0	0.3098822	
0.00405	4.122022	31.428	8.031591	0	0	0.7392244	0	0.3152473	
0.0041	4.142483	31.59043	8.088906	0	0	0.7473732	0	0.3206875	
0.00415	4.16257	31.74948	8.145987	0	0	0.7555051	0	0.3261633	
0.0042	4.182223	31.905	8.202203	0	0	0.7636361	0	0.3316351	
0.00425	4.201548	32.05724	8.257942	0	0	0.7717183	0	0.3371028	
0.0043	4.220453	32.20633	8.312704	0	0	0.779752	0	0.3425666	
0.00435	4.238978	32.35222	8.366623	0	0	0.7877691	0	0.3481053	
0.0044	4.257163	32.49488	8.420212	0	0	0.7957538	0	0.3536004	
0.00445	4.275012	32.63462	8.472969	0	0	0.8036903	0	0.3590916	
0.0045	4.292467	32.77129	8.525155	0	0	0.8116105	0	0.3646181	
0.00455	4.309631	32.90505	8.576523	0	0	0.8194826	0	0.3701405	
0.0046	4.326446	33.03601	8.627205	0	0	0.8273227	0	0.3756588	
0.00465	4.342916	33.16413	8.677334	0	0	0.835147	0	0.381173	
0.0047	4.359081	33.28934	8.726663	0	0	0.8429075	0	0.3867621	
0.00475	4.374945	33.41198	8.775955	0	0	0.8506842	0	0.3923074	
0.0048	4.390512	33.53199	8.824078	0	0	0.8583814	0	0.3978092	
0.00485	4.405789	33.6492	8.871545	0	0	0.8660472	0	0.4033464	
0.0049	4.420748	33.76395	8.91874	0	0	0.8737135	0	0.4089188	
0.00495	4.435457	33.87636	8.965037	0	0	0.8813006	0	0.4144871	
0.005	4.449825	33.98627	9.011073	0	0	0.8889045	0	0.4200118	
0.00505	4.464018	34.09354	9.056347	0	0	0.8964612	0	0.4255719	
0.0051	4.477879	34.19866	9.101117	0	0	0.9039869	0	0.4311278	
0.00515	4.491476	34.30138	9.145263	0	0	0.9114819	0	0.4366007	
0.0052	4.504846	34.40193	9.188789	0	0	0.9189141	0	0.4421485	
0.00525	4.517961	34.50014	9.231828	0	0	0.9263476	0	0.4477711	
0.0053	4.530856	34.59624	9.274384	0	0	0.9337344	0	0.4532711	
0.00535	4.543471	34.69024	9.31621	0	0	0.9410908	0	0.4587672	
0.0054	4.555875	34.78219	9.357816	0	0	0.9484169	0	0.4642987	
0.00545	4.56807	34.87201	9.398574	0	0	0.9556967	0	0.4698261	
0.0055	4.580027	34.95982	9.438995	0	0	0.9629623	0	0.4753889	
0.00555	4.591751	35.04556	9.478832	0	0	0.9701659	0	0.4808688	
0.0056	4.603277	35.12953	9.518468	0	0	0.9773874	0	0.4863448	
0.00565	4.614607	35.21148	9.557147	0	0	0.9845311	0	0.4919351	
0.0057	4.625745	35.29171	9.595509	0	0	0.991661	0	0.4974029	
0.00575	4.636629	35.36996	9.633304	0	0	0.9987612	0	0.502867	
0.0058	4.64736	35.44655	9.670917	0	0	1.005848	0	0.5083666	
0.00585	4.657874	35.5212	9.707591	0	0	1.012873	0	0.5138622	
0.0059	4.66824	35.59443	9.744093	0	0	1.019853	0	0.5193145	
0.00595	4.678396	35.66576	9.780298	0	0	1.026835	0	0.5248024	
0.006	4.688375	35.7355	9.81583	0	0	1.033789	0	0.5302471	
0.00605	4.698214	35.8036	9.851074	0	0	1.040713	0	0.5356485	
0.0061	4.707817	35.87015	9.885528	0	0	1.047576	0	0.5410857	
0.00615	4.717284	35.93508	9.919703	0	0	1.054426	0	0.5465192	
0.0062	4.726617	35.99842	9.953476	0	0	1.061248	0	0.5519094	
0.00625	4.735785	36.06055	9.98685	0	0	1.068024	0	0.5572961	
