Time	LH_HipZ	
2	-0.8156688	
2.00005	-0.8157414	
2.0001	-0.8158139	
2.00015	-0.8158861	
2.0002	-0.8159583	
2.00025	-0.8160303	
2.0003	-0.8161022	
2.00035	-0.816174	
2.0004	-0.8162459	
2.00045	-0.8163177	
2.0005	-0.8163895	
2.00055	-0.8164613	
2.0006	-0.8165331	
2.00065	-0.8166047	
2.0007	-0.8166758	
2.00075	-0.8167472	
2.0008	-0.8168188	
2.00085	-0.8168903	
2.0009	-0.8169621	
2.00095	-0.8170341	
2.001	-0.8171065	
2.00105	-0.8171796	
2.0011	-0.8172534	
2.00115	-0.8173276	
2.0012	-0.8174022	
2.00125	-0.8174773	
2.0013	-0.8175526	
2.00135	-0.817628	
2.0014	-0.8177034	
2.00145	-0.8177789	
2.0015	-0.8178542	
2.00155	-0.8179293	
2.0016	-0.8180042	
2.00165	-0.8180787	
2.0017	-0.8181528	
2.00175	-0.8182267	
2.0018	-0.8183002	
2.00185	-0.8183733	
2.0019	-0.818446	
2.00195	-0.8185185	
2.002	-0.8185906	
2.00205	-0.8186625	
2.0021	-0.8187341	
2.00215	-0.8188055	
2.0022	-0.8188767	
2.00225	-0.8189479	
2.0023	-0.819019	
2.00235	-0.81909	
2.0024	-0.819161	
2.00245	-0.8192321	
2.0025	-0.8193032	
2.00255	-0.8193744	
2.0026	-0.8194457	
2.00265	-0.8195171	
2.0027	-0.8195886	
2.00275	-0.8196602	
2.0028	-0.819732	
2.00285	-0.8198035	
2.0029	-0.8198745	
2.00295	-0.8199456	
2.003	-0.820017	
2.00305	-0.8200887	
2.0031	-0.8201608	
2.00315	-0.8202333	
2.0032	-0.8203064	
2.00325	-0.8203798	
2.0033	-0.8204535	
2.00335	-0.8205275	
2.0034	-0.8206016	
2.00345	-0.820676	
2.0035	-0.8207504	
2.00355	-0.8208247	
2.0036	-0.820899	
2.00365	-0.8209732	
2.0037	-0.8210472	
2.00375	-0.821121	
2.0038	-0.8211945	
2.00385	-0.8212677	
2.0039	-0.8213407	
2.00395	-0.8214133	
2.004	-0.821486	
2.00405	-0.8215581	
2.0041	-0.8216296	
2.00415	-0.8217008	
2.0042	-0.8217717	
2.00425	-0.8218426	
2.0043	-0.8219133	
2.00435	-0.8219841	
2.0044	-0.822055	
2.00445	-0.8221261	
2.0045	-0.8221973	
2.00455	-0.8222688	
2.0046	-0.8223405	
2.00465	-0.8224126	
2.0047	-0.8224847	
2.00475	-0.8225571	
2.0048	-0.8226296	
2.00485	-0.8227021	
2.0049	-0.8227747	
2.00495	-0.8228473	
2.005	-0.8229199	
2.00505	-0.8229924	
2.0051	-0.8230647	
2.00515	-0.823137	
2.0052	-0.823209	
2.00525	-0.8232809	
2.0053	-0.8233525	
2.00535	-0.823424	
2.0054	-0.8234954	
2.00545	-0.8235664	
2.0055	-0.8236368	
2.00555	-0.8237071	
2.0056	-0.8237774	
2.00565	-0.8238478	
2.0057	-0.8239186	
2.00575	-0.8239899	
2.0058	-0.8240617	
2.00585	-0.8241338	
2.0059	-0.8242064	
2.00595	-0.8242792	
2.006	-0.8243524	
2.00605	-0.8244258	
2.0061	-0.8244994	
2.00615	-0.8245731	
2.0062	-0.8246469	
2.00625	-0.8247206	
2.0063	-0.8247942	
2.00635	-0.8248677	
2.0064	-0.8249409	
2.00645	-0.8250139	
2.0065	-0.8250866	
2.00655	-0.825159	
2.0066	-0.8252311	
2.00665	-0.8253028	
2.0067	-0.8253742	
2.00675	-0.8254454	
2.0068	-0.8255163	
2.00685	-0.825587	
2.0069	-0.8256575	
2.00695	-0.8257279	
2.007	-0.8257982	
2.00705	-0.8258684	
2.0071	-0.8259386	
2.00715	-0.8260089	
2.0072	-0.826079	
2.00725	-0.8261493	
2.0073	-0.8262196	
2.00735	-0.8262901	
2.0074	-0.8263612	
2.00745	-0.8264319	
2.0075	-0.8265027	
2.00755	-0.8265737	
2.0076	-0.8266447	
2.00765	-0.8267154	
2.0077	-0.8267862	
2.00775	-0.8268571	
2.0078	-0.8269283	
2.00785	-0.827	
2.0079	-0.8270721	
2.00795	-0.8271447	
2.008	-0.8272178	
2.00805	-0.827291	
2.0081	-0.8273644	
2.00815	-0.827438	
2.0082	-0.8275116	
2.00825	-0.8275852	
2.0083	-0.8276586	
2.00835	-0.8277317	
2.0084	-0.8278046	
2.00845	-0.8278772	
2.0085	-0.8279493	
2.00855	-0.828021	
2.0086	-0.8280923	
2.00865	-0.8281631	
2.0087	-0.8282337	
2.00875	-0.828304	
2.0088	-0.8283739	
2.00885	-0.8284436	
2.0089	-0.8285131	
2.00895	-0.8285824	
2.009	-0.8286517	
2.00905	-0.8287209	
2.0091	-0.8287901	
2.00915	-0.8288593	
2.0092	-0.8289286	
2.00925	-0.828998	
2.0093	-0.8290675	
2.00935	-0.8291372	
2.0094	-0.8292071	
2.00945	-0.829277	
2.0095	-0.8293472	
2.00955	-0.8294175	
2.0096	-0.8294882	
2.00965	-0.8295593	
2.0097	-0.8296304	
2.00975	-0.8297014	
2.0098	-0.8297722	
2.00985	-0.829843	
2.0099	-0.8299139	
2.00995	-0.8299848	
2.01	-0.8300558	
2.01005	-0.8301269	
2.0101	-0.8301981	
2.01015	-0.8302693	
2.0102	-0.8303407	
2.01025	-0.830412	
2.0103	-0.8304834	
2.01035	-0.8305548	
2.0104	-0.8306262	
2.01045	-0.8306975	
2.0105	-0.8307687	
2.01055	-0.8308397	
2.0106	-0.8309105	
2.01065	-0.830981	
2.0107	-0.8310513	
2.01075	-0.8311214	
2.0108	-0.8311912	
2.01085	-0.8312607	
2.0109	-0.8313301	
2.01095	-0.8313992	
2.011	-0.8314682	
2.01105	-0.8315372	
2.0111	-0.831606	
2.01115	-0.8316749	
2.0112	-0.8317438	
2.01125	-0.8318127	
2.0113	-0.8318818	
2.01135	-0.8319508	
2.0114	-0.83202	
2.01145	-0.8320894	
2.0115	-0.8321588	
2.01155	-0.8322283	
2.0116	-0.8322979	
2.01165	-0.8323676	
2.0117	-0.8324373	
2.01175	-0.832507	
2.0118	-0.8325768	
2.01185	-0.8326465	
2.0119	-0.8327162	
2.01195	-0.8327857	
2.012	-0.8328553	
2.01205	-0.8329247	
2.0121	-0.8329942	
2.01215	-0.8330636	
2.0122	-0.8331329	
2.01225	-0.8332022	
2.0123	-0.8332716	
2.01235	-0.8333408	
2.0124	-0.83341	
2.01245	-0.833479	
2.0125	-0.8335481	
2.01255	-0.8336171	
2.0126	-0.8336861	
2.01265	-0.833755	
2.0127	-0.8338239	
2.01275	-0.8338926	
2.0128	-0.8339614	
2.01285	-0.8340303	
2.0129	-0.8340997	
2.01295	-0.8341694	
2.013	-0.8342397	
2.01305	-0.8343098	
2.0131	-0.8343797	
2.01315	-0.8344493	
2.0132	-0.8345186	
2.01325	-0.8345875	
2.0133	-0.8346561	
2.01335	-0.8347244	
2.0134	-0.8347924	
2.01345	-0.8348603	
2.0135	-0.8349281	
2.01355	-0.8349958	
2.0136	-0.8350635	
2.01365	-0.8351313	
2.0137	-0.8351991	
2.01375	-0.8352671	
2.0138	-0.8353351	
2.01385	-0.8354033	
2.0139	-0.8354713	
2.01395	-0.8355392	
2.014	-0.8356069	
2.01405	-0.8356743	
2.0141	-0.8357416	
2.01415	-0.8358086	
2.0142	-0.8358755	
2.01425	-0.8359422	
2.0143	-0.8360088	
2.01435	-0.8360754	
2.0144	-0.8361421	
2.01445	-0.8362088	
2.0145	-0.8362755	
2.01455	-0.8363425	
2.0146	-0.8364096	
2.01465	-0.836477	
2.0147	-0.8365445	
2.01475	-0.8366123	
2.0148	-0.8366803	
2.01485	-0.8367485	
2.0149	-0.8368168	
2.01495	-0.8368853	
2.015	-0.8369539	
2.01505	-0.8370225	
2.0151	-0.8370912	
2.01515	-0.8371599	
2.0152	-0.8372285	
2.01525	-0.837297	
2.0153	-0.8373655	
2.01535	-0.8374338	
2.0154	-0.8375021	
2.01545	-0.8375703	
2.0155	-0.8376389	
2.01555	-0.8377072	
2.0156	-0.8377756	
2.01565	-0.8378438	
2.0157	-0.8379118	
2.01575	-0.8379799	
2.0158	-0.8380479	
2.01585	-0.838116	
2.0159	-0.8381841	
2.01595	-0.8382523	
2.016	-0.8383206	
2.01605	-0.838389	
2.0161	-0.8384574	
2.01615	-0.838526	
2.0162	-0.8385944	
2.01625	-0.838663	
2.0163	-0.8387314	
2.01635	-0.8387997	
2.0164	-0.8388678	
2.01645	-0.8389358	
2.0165	-0.8390034	
2.01655	-0.8390709	
2.0166	-0.8391381	
2.01665	-0.839205	
2.0167	-0.8392715	
2.01675	-0.8393379	
2.0168	-0.839404	
2.01685	-0.8394699	
2.0169	-0.8395356	
2.01695	-0.8396012	
2.017	-0.8396666	
2.01705	-0.839732	
2.0171	-0.8397973	
2.01715	-0.8398627	
2.0172	-0.8399281	
2.01725	-0.8399937	
2.0173	-0.8400594	
2.01735	-0.8401253	
2.0174	-0.8401913	
2.01745	-0.8402574	
2.0175	-0.8403237	
2.01755	-0.84039	
2.0176	-0.8404565	
2.01765	-0.8405231	
2.0177	-0.8405898	
2.01775	-0.8406566	
2.0178	-0.8407235	
2.01785	-0.8407905	
2.0179	-0.8408575	
2.01795	-0.8409245	
2.018	-0.8409916	
2.01805	-0.8410587	
2.0181	-0.8411257	
2.01815	-0.8411927	
2.0182	-0.8412597	
2.01825	-0.8413265	
2.0183	-0.8413933	
2.01835	-0.8414599	
2.0184	-0.8415264	
2.01845	-0.8415928	
2.0185	-0.8416589	
2.01855	-0.841725	
2.0186	-0.8417908	
2.01865	-0.8418565	
2.0187	-0.841922	
2.01875	-0.8419873	
2.0188	-0.8420526	
2.01885	-0.8421178	
2.0189	-0.842183	
2.01895	-0.8422481	
2.019	-0.8423133	
2.01905	-0.8423784	
2.0191	-0.842444	
2.01915	-0.8425097	
2.0192	-0.8425753	
2.01925	-0.8426406	
2.0193	-0.8427057	
2.01935	-0.8427707	
2.0194	-0.8428356	
2.01945	-0.8429005	
2.0195	-0.8429654	
2.01955	-0.8430304	
2.0196	-0.8430955	
2.01965	-0.8431606	
2.0197	-0.843226	
2.01975	-0.8432913	
2.0198	-0.8433568	
2.01985	-0.8434222	
2.0199	-0.8434876	
2.01995	-0.8435529	
2.02	-0.843618	
2.02005	-0.8436828	
2.0201	-0.8437473	
2.02015	-0.8438116	
2.0202	-0.8438755	
2.02025	-0.843939	
2.0203	-0.8440022	
2.02035	-0.8440651	
2.0204	-0.8441278	
2.02045	-0.8441903	
2.0205	-0.8442528	
2.02055	-0.8443152	
2.0206	-0.8443775	
2.02065	-0.8444399	
2.0207	-0.8445024	
2.02075	-0.844565	
2.0208	-0.8446277	
2.02085	-0.8446905	
2.0209	-0.8447535	
2.02095	-0.8448166	
2.021	-0.84488	
2.02105	-0.8449435	
2.0211	-0.8450073	
2.02115	-0.8450712	
2.0212	-0.8451353	
2.02125	-0.8451995	
2.0213	-0.8452638	
2.02135	-0.8453282	
2.0214	-0.8453926	
2.02145	-0.8454571	
2.0215	-0.8455216	
2.02155	-0.8455859	
2.0216	-0.8456503	
2.02165	-0.8457144	
2.0217	-0.8457784	
2.02175	-0.8458422	
2.0218	-0.8459058	
2.02185	-0.8459692	
2.0219	-0.8460323	
2.02195	-0.8460952	
2.022	-0.8461578	
2.02205	-0.8462203	
2.0221	-0.8462827	
2.02215	-0.8463449	
2.0222	-0.846407	
2.02225	-0.846469	
2.0223	-0.846531	
2.02235	-0.8465928	
2.0224	-0.846655	
2.02245	-0.8467168	
2.0225	-0.8467783	
2.02255	-0.8468398	
2.0226	-0.8469016	
2.02265	-0.8469633	
2.0227	-0.8470248	
2.02275	-0.8470863	
2.0228	-0.8471477	
2.02285	-0.8472092	
2.0229	-0.8472707	
2.02295	-0.8473324	
2.023	-0.8473942	
2.02305	-0.847456	
2.0231	-0.8475179	
2.02315	-0.8475798	
2.0232	-0.8476417	
2.02325	-0.8477035	
2.0233	-0.847765	
2.02335	-0.8478264	
2.0234	-0.8478873	
2.02345	-0.847948	
2.0235	-0.8480082	
2.02355	-0.848068	
2.0236	-0.8481274	
2.02365	-0.8481863	
2.0237	-0.8482449	
2.02375	-0.8483033	
2.0238	-0.8483614	
2.02385	-0.8484195	
2.0239	-0.8484774	
2.02395	-0.8485352	
2.024	-0.848593	
2.02405	-0.8486507	
2.0241	-0.8487085	
2.02415	-0.8487662	
2.0242	-0.848824	
2.02425	-0.848882	
2.0243	-0.84894	
2.02435	-0.8489981	
2.0244	-0.8490564	
2.02445	-0.8491148	
2.0245	-0.8491733	
2.02455	-0.8492318	
2.0246	-0.8492902	
2.02465	-0.849349	
2.0247	-0.8494076	
2.02475	-0.849466	
2.0248	-0.8495244	
2.02485	-0.8495827	
2.0249	-0.8496413	
2.02495	-0.8497	
2.025	-0.8497588	
2.02505	-0.8498178	
2.0251	-0.8498767	
2.02515	-0.8499356	
2.0252	-0.8499945	
2.02525	-0.8500532	
2.0253	-0.8501117	
2.02535	-0.8501699	
2.0254	-0.8502279	
2.02545	-0.8502856	
2.0255	-0.8503431	
2.02555	-0.8504001	
2.0256	-0.8504568	
2.02565	-0.850513	
2.0257	-0.8505688	
2.02575	-0.8506241	
2.0258	-0.8506791	
2.02585	-0.8507336	
2.0259	-0.8507878	
2.02595	-0.8508417	
2.026	-0.8508953	
2.02605	-0.8509489	
2.0261	-0.8510023	
2.02615	-0.8510558	
2.0262	-0.8511092	
2.02625	-0.8511627	
2.0263	-0.8512163	
2.02635	-0.8512699	
2.0264	-0.8513236	
2.02645	-0.8513774	
2.0265	-0.8514312	
2.02655	-0.851485	
2.0266	-0.8515388	
2.02665	-0.8515925	
2.0267	-0.8516461	
