Time	LH_HipZ	
2	0.09903077	
2.00005	0.09919909	
2.0001	0.09936724	
2.00015	0.09953518	
2.0002	0.09970297	
2.00025	0.09987058	
2.0003	0.100038	
2.00035	0.1002054	
2.0004	0.1003726	
2.00045	0.1005397	
2.0005	0.1007068	
2.00055	0.1008738	
2.0006	0.1010409	
2.00065	0.1012079	
2.0007	0.101375	
2.00075	0.1015421	
2.0008	0.1017093	
2.00085	0.1018765	
2.0009	0.1020438	
2.00095	0.1022111	
2.001	0.1023786	
2.00105	0.1025461	
2.0011	0.1027137	
2.00115	0.1028813	
2.0012	0.1030489	
2.00125	0.1032166	
2.0013	0.1033842	
2.00135	0.1035517	
2.0014	0.1037192	
2.00145	0.1038865	
2.0015	0.1040537	
2.00155	0.1042208	
2.0016	0.1043876	
2.00165	0.1045543	
2.0017	0.1047208	
2.00175	0.1048871	
2.0018	0.1050534	
2.00185	0.1052195	
2.0019	0.1053855	
2.00195	0.1055515	
2.002	0.1057174	
2.00205	0.1058834	
2.0021	0.1060492	
2.00215	0.106215	
2.0022	0.1063809	
2.00225	0.1065468	
2.0023	0.1067127	
2.00235	0.1068787	
2.0024	0.1070448	
2.00245	0.1072109	
2.0025	0.1073771	
2.00255	0.1075433	
2.0026	0.1077096	
2.00265	0.107876	
2.0027	0.1080424	
2.00275	0.1082088	
2.0028	0.1083751	
2.00285	0.1085414	
2.0029	0.1087076	
2.00295	0.1088738	
2.003	0.1090398	
2.00305	0.1092058	
2.0031	0.1093716	
2.00315	0.1095374	
2.0032	0.1097029	
2.00325	0.1098683	
2.0033	0.1100336	
2.00335	0.1101986	
2.0034	0.1103636	
2.00345	0.1105285	
2.0035	0.1106932	
2.00355	0.1108579	
2.0036	0.1110225	
2.00365	0.1111871	
2.0037	0.1113517	
2.00375	0.1115163	
2.0038	0.1116809	
2.00385	0.1118455	
2.0039	0.1120102	
2.00395	0.112175	
2.004	0.1123398	
2.00405	0.1125047	
2.0041	0.1126697	
2.00415	0.1128347	
2.0042	0.1129998	
2.00425	0.113165	
2.0043	0.1133301	
2.00435	0.1134952	
2.0044	0.1136603	
2.00445	0.1138252	
2.0045	0.1139902	
2.00455	0.114155	
2.0046	0.1143197	
2.00465	0.1144842	
2.0047	0.1146486	
2.00475	0.1148129	
2.0048	0.114977	
2.00485	0.115141	
2.0049	0.1153048	
2.00495	0.1154686	
2.005	0.1156322	
2.00505	0.1157957	
2.0051	0.1159591	
2.00515	0.1161226	
2.0052	0.116286	
2.00525	0.1164494	
2.0053	0.1166128	
2.00535	0.1167762	
2.0054	0.1169397	
2.00545	0.1171032	
2.0055	0.1172669	
2.00555	0.1174306	
2.0056	0.1175944	
2.00565	0.1177582	
2.0057	0.1179221	
2.00575	0.118086	
2.0058	0.1182499	
2.00585	0.1184139	
2.0059	0.1185779	
2.00595	0.1187418	
2.006	0.1189056	
2.00605	0.1190694	
2.0061	0.1192331	
2.00615	0.1193966	
2.0062	0.1195601	
2.00625	0.1197234	
2.0063	0.1198865	
2.00635	0.1200495	
2.0064	0.1202123	
2.00645	0.120375	
2.0065	0.1205376	
2.00655	0.1207	
2.0066	0.1208624	
2.00665	0.1210247	
2.0067	0.121187	
2.00675	0.1213492	
2.0068	0.1215115	
2.00685	0.1216737	
2.0069	0.1218359	
2.00695	0.1219983	
2.007	0.1221606	
2.00705	0.1223231	
2.0071	0.1224856	
2.00715	0.1226482	
2.0072	0.1228108	
2.00725	0.1229735	
2.0073	0.1231362	
2.00735	0.123299	
2.0074	0.1234618	
2.00745	0.1236247	
2.0075	0.1237875	
2.00755	0.1239503	
2.0076	0.124113	
2.00765	0.1242756	
2.0077	0.124438	
2.00775	0.1246004	
2.0078	0.1247626	
2.00785	0.1249246	
2.0079	0.1250865	
2.00795	0.1252483	
2.008	0.1254099	
2.00805	0.1255714	
2.0081	0.1257327	
2.00815	0.125894	
2.0082	0.1260552	
2.00825	0.1262164	
2.0083	0.1263776	
2.00835	0.1265387	
2.0084	0.1266999	
2.00845	0.1268611	
2.0085	0.1270223	
2.00855	0.1271835	
2.0086	0.1273448	
2.00865	0.1275063	
2.0087	0.1276677	
2.00875	0.1278293	
