Time	LH_HipZ	
2	0.09719007	
2.00005	0.09735915	
2.0001	0.09752824	
2.00015	0.09769734	
2.0002	0.09786646	
2.00025	0.09803563	
2.0003	0.09820476	
2.00035	0.09837387	
2.0004	0.09854285	
2.00045	0.09871172	
2.0005	0.09888049	
2.00055	0.09904914	
2.0006	0.09921766	
2.00065	0.09938601	
2.0007	0.09955419	
2.00075	0.09972216	
2.0008	0.09988997	
2.00085	0.1000576	
2.0009	0.1002251	
2.00095	0.1003925	
2.001	0.1005597	
2.00105	0.1007269	
2.0011	0.1008939	
2.00115	0.1010609	
2.0012	0.1012278	
2.00125	0.1013947	
2.0013	0.1015616	
2.00135	0.1017286	
2.0014	0.1018955	
2.00145	0.1020625	
2.0015	0.1022295	
2.00155	0.1023966	
2.0016	0.1025638	
2.00165	0.102731	
2.0017	0.1028983	
2.00175	0.1030657	
2.0018	0.1032331	
2.00185	0.1034006	
2.0019	0.103568	
2.00195	0.1037355	
2.002	0.1039028	
2.00205	0.1040701	
2.0021	0.1042372	
2.00215	0.1044042	
2.0022	0.1045711	
2.00225	0.1047379	
2.0023	0.1049045	
2.00235	0.1050709	
2.0024	0.1052372	
2.00245	0.1054034	
2.0025	0.1055695	
2.00255	0.1057355	
2.0026	0.1059013	
2.00265	0.1060671	
2.0027	0.1062328	
2.00275	0.1063984	
2.0028	0.1065641	
2.00285	0.1067297	
2.0029	0.1068954	
2.00295	0.1070611	
2.003	0.107227	
2.00305	0.1073928	
2.0031	0.1075587	
2.00315	0.1077246	
2.0032	0.1078907	
2.00325	0.1080568	
2.0033	0.1082229	
2.00335	0.1083892	
2.0034	0.1085553	
2.00345	0.1087215	
2.0035	0.1088877	
2.00355	0.1090538	
2.0036	0.1092199	
2.00365	0.1093859	
2.0037	0.1095517	
2.00375	0.1097174	
2.0038	0.109883	
2.00385	0.1100483	
2.0039	0.1102135	
2.00395	0.1103786	
2.004	0.1105435	
2.00405	0.1107083	
2.0041	0.110873	
2.00415	0.1110376	
2.0042	0.1112021	
2.00425	0.1113665	
2.0043	0.1115309	
2.00435	0.1116953	
2.0044	0.1118597	
2.00445	0.1120241	
2.0045	0.1121886	
2.00455	0.1123531	
2.0046	0.1125176	
2.00465	0.1126822	
2.0047	0.1128469	
2.00475	0.1130117	
2.0048	0.1131765	
2.00485	0.1133414	
2.0049	0.1135063	
2.00495	0.1136713	
2.005	0.1138362	
2.00505	0.1140012	
2.0051	0.1141661	
2.00515	0.1143309	
2.0052	0.1144956	
2.00525	0.1146602	
2.0053	0.1148246	
2.00535	0.1149889	
2.0054	0.1151531	
2.00545	0.1153172	
2.0055	0.115481	
2.00555	0.1156447	
2.0056	0.1158083	
2.00565	0.1159718	
2.0057	0.1161352	
2.00575	0.1162985	
2.0058	0.1164618	
2.00585	0.116625	
2.0059	0.1167882	
2.00595	0.1169515	
2.006	0.1171148	
2.00605	0.1172781	
2.0061	0.1174414	
2.00615	0.1176048	
2.0062	0.1177682	
2.00625	0.1179317	
2.0063	0.1180952	
2.00635	0.1182589	
2.0064	0.1184226	
2.00645	0.1185863	
2.0065	0.1187501	
2.00655	0.1189139	
2.0066	0.1190777	
2.00665	0.1192414	
2.0067	0.119405	
2.00675	0.1195685	
2.0068	0.1197319	
2.00685	0.1198952	
2.0069	0.1200584	
2.00695	0.1202214	
2.007	0.1203842	
2.00705	0.1205469	
2.0071	0.1207095	
2.00715	0.1208719	
2.0072	0.1210343	
2.00725	0.1211965	
2.0073	0.1213587	
2.00735	0.1215209	
2.0074	0.121683	
2.00745	0.1218452	
2.0075	0.1220074	
2.00755	0.1221696	
2.0076	0.1223318	
2.00765	0.122494	
2.0077	0.1226563	
2.00775	0.1228186	
2.0078	0.1229809	
2.00785	0.1231434	
2.0079	0.1233058	
2.00795	0.1234683	
2.008	0.1236309	
2.00805	0.1237935	
2.0081	0.1239561	
2.00815	0.1241187	
2.0082	0.1242813	
2.00825	0.1244439	
2.0083	0.1246063	
2.00835	0.1247686	
2.0084	0.1249307	
2.00845	0.1250928	
2.0085	0.1252547	
2.00855	0.1254164	
2.0086	0.1255781	
2.00865	0.1257396	
2.0087	0.125901	
2.00875	0.1260622	
2.0088	0.1262234	
2.00885	0.1263845	
2.0089	0.1265456	
2.00895	0.1267066	
2.009	0.1268676	
2.00905	0.1270286	
2.0091	0.1271896	
2.00915	0.1273506	
2.0092	0.1275117	
2.00925	0.1276728	
2.0093	0.1278339	
2.00935	0.1279951	
2.0094	0.1281564	
2.00945	0.1283178	
2.0095	0.1284792	
2.00955	0.1286407	
2.0096	0.1288022	
2.00965	0.1289638	
2.0097	0.1291253	
2.00975	0.1292869	
2.0098	0.1294483	
2.00985	0.1296097	
2.0099	0.129771	
2.00995	0.1299321	
2.01	0.1300931	
2.01005	0.130254	
2.0101	0.1304148	
2.01015	0.1305755	
2.0102	0.130736	
2.01025	0.1308963	
2.0103	0.1310565	
2.01035	0.1312167	
2.0104	0.1313767	
2.01045	0.1315367	
2.0105	0.1316967	
2.01055	0.1318567	
2.0106	0.1320166	
2.01065	0.1321765	
2.0107	0.1323364	
2.01075	0.1324963	
2.0108	0.1326563	
2.01085	0.1328164	
2.0109	0.1329765	
2.01095	0.1331367	
2.011	0.133297	
2.01105	0.1334573	
2.0111	0.1336177	
2.01115	0.1337782	
2.0112	0.1339387	
2.01125	0.1340991	
2.0113	0.1342596	
2.01135	0.13442	
2.0114	0.1345803	
2.01145	0.1347404	
2.0115	0.1349006	
2.01155	0.1350605	
2.0116	0.1352204	
2.01165	0.1353802	
2.0117	0.1355399	
2.01175	0.1356994	
2.0118	0.1358588	
2.01185	0.1360181	
2.0119	0.1361773	
2.01195	0.1363364	
2.012	0.1364955	
2.01205	0.1366545	
2.0121	0.1368134	
2.01215	0.1369723	
2.0122	0.1371311	
2.01225	0.13729	
2.0123	0.1374489	
2.01235	0.1376078	
2.0124	0.1377668	
2.01245	0.1379259	
2.0125	0.1380849	
2.01255	0.1382441	
2.0126	0.1384034	
2.01265	0.1385626	
2.0127	0.138722	
2.01275	0.1388814	
2.0128	0.1390408	
2.01285	0.1392003	
2.0129	0.1393597	
2.01295	0.139519	
2.013	0.1396782	
2.01305	0.1398373	
2.0131	0.1399963	
2.01315	0.1401552	
2.0132	0.140314	
2.01325	0.1404726	
2.0133	0.1406311	
2.01335	0.1407895	
2.0134	0.1409478	
2.01345	0.1411059	
2.0135	0.141264	
2.01355	0.1414219	
2.0136	0.1415799	
2.01365	0.1417377	
2.0137	0.1418955	
2.01375	0.1420533	
2.0138	0.1422112	
2.01385	0.1423691	
2.0139	0.142527	
2.01395	0.142685	
2.014	0.1428431	
2.01405	0.1430012	
2.0141	0.1431594	
2.01415	0.1433177	
2.0142	0.143476	
2.01425	0.1436343	
2.0143	0.1437927	
2.01435	0.1439512	
2.0144	0.1441096	
2.01445	0.1442681	
2.0145	0.1444264	
2.01455	0.1445847	
2.0146	0.1447429	
2.01465	0.1449009	
2.0147	0.1450588	
2.01475	0.1452166	
2.0148	0.1453743	
2.01485	0.1455319	
2.0149	0.1456894	
2.01495	0.1458468	
2.015	0.1460041	
2.01505	0.1461612	
2.0151	0.1463183	
2.01515	0.1464753	
2.0152	0.1466322	
2.01525	0.1467891	
2.0153	0.1469459	
2.01535	0.1471028	
2.0154	0.1472597	
2.01545	0.1474166	
2.0155	0.1475736	
2.01555	0.1477307	
2.0156	0.1478878	
2.01565	0.148045	
2.0157	0.1482023	
2.01575	0.1483596	
2.0158	0.148517	
2.01585	0.1486743	
2.0159	0.1488317	
2.01595	0.1489891	
2.016	0.1491465	
2.01605	0.1493039	
2.0161	0.1494612	
2.01615	0.1496184	
2.0162	0.1497755	
2.01625	0.1499325	
2.0163	0.1500894	
2.01635	0.1502461	
2.0164	0.1504028	
2.01645	0.1505593	
2.0165	0.1507157	
2.01655	0.150872	
2.0166	0.1510282	
2.01665	0.1511843	
2.0167	0.1513404	
2.01675	0.1514964	
2.0168	0.1516523	
2.01685	0.1518082	
2.0169	0.1519641	
2.01695	0.1521201	
2.017	0.1522761	
2.01705	0.152432	
2.0171	0.152588	
2.01715	0.1527441	
2.0172	0.1529003	
2.01725	0.1530565	
2.0173	0.1532128	
2.01735	0.1533692	
2.0174	0.1535256	
2.01745	0.1536821	
2.0175	0.1538385	
2.01755	0.153995	
2.0176	0.1541514	
2.01765	0.1543078	
2.0177	0.1544642	
2.01775	0.1546204	
2.0178	0.1547766	
2.01785	0.1549326	
2.0179	0.1550885	
2.01795	0.1552443	
2.018	0.1553999	
2.01805	0.1555555	
2.0181	0.155711	
2.01815	0.1558663	
2.0182	0.1560215	
2.01825	0.1561767	
2.0183	0.1563317	
2.01835	0.1564867	
2.0184	0.1566417	
2.01845	0.1567966	
2.0185	0.1569515	
2.01855	0.1571065	
2.0186	0.1572615	
2.01865	0.1574166	
2.0187	0.1575718	
2.01875	0.157727	
2.0188	0.1578824	
2.01885	0.1580377	
2.0189	0.1581931	
2.01895	0.1583486	
2.019	0.1585041	
2.01905	0.1586596	
2.0191	0.1588152	
2.01915	0.1589708	
2.0192	0.1591263	
2.01925	0.1592818	
2.0193	0.1594372	
2.01935	0.1595924	
2.0194	0.1597475	
2.01945	0.1599026	
2.0195	0.1600575	
2.01955	0.1602123	
2.0196	0.160367	
2.01965	0.1605216	
2.0197	0.1606761	
2.01975	0.1608305	
2.0198	0.1609847	
2.01985	0.161139	
2.0199	0.1612931	
2.01995	0.1614472	
2.02	0.1616013	
2.02005	0.1617554	
2.0201	0.1619095	
2.02015	0.1620637	
2.0202	0.1622178	
2.02025	0.162372	
2.0203	0.1625263	
2.02035	0.1626806	
2.0204	0.162835	
2.02045	0.1629894	
2.0205	0.1631439	
2.02055	0.1632984	
2.0206	0.163453	
2.02065	0.1636076	
2.0207	0.1637622	
2.02075	0.1639168	
2.0208	0.1640714	
2.02085	0.164226	
2.0209	0.1643804	
2.02095	0.1645347	
2.021	0.1646889	
2.02105	0.164843	
2.0211	0.1649969	
2.02115	0.1651508	
2.0212	0.1653045	
2.02125	0.1654581	
2.0213	0.1656116	
2.02135	0.165765	
2.0214	0.1659184	
2.02145	0.1660716	
2.0215	0.1662249	
2.02155	0.1663781	
2.0216	0.1665313	
2.02165	0.1666845	
2.0217	0.1668378	
2.02175	0.166991	
2.0218	0.1671443	
2.02185	0.1672976	
2.0219	0.1674509	
2.02195	0.1676043	
2.022	0.1677578	
2.02205	0.1679114	
2.0221	0.168065	
2.02215	0.1682186	
2.0222	0.1683723	
2.02225	0.1685261	
2.0223	0.1686798	
