Time	LH_HipZ	
2	0.09924039	
2.00005	0.0994084	
2.0001	0.09957648	
2.00015	0.09974459	
2.0002	0.09991271	
2.00025	0.1000809	
2.0003	0.1002491	
2.00035	0.1004172	
2.0004	0.1005852	
2.00045	0.1007531	
2.0005	0.1009209	
2.00055	0.1010886	
2.0006	0.1012562	
2.00065	0.1014237	
2.0007	0.1015909	
2.00075	0.101758	
2.0008	0.101925	
2.00085	0.1020918	
2.0009	0.1022585	
2.00095	0.1024251	
2.001	0.1025916	
2.00105	0.1027581	
2.0011	0.1029245	
2.00115	0.103091	
2.0012	0.1032574	
2.00125	0.1034238	
2.0013	0.1035903	
2.00135	0.1037568	
2.0014	0.1039233	
2.00145	0.1040899	
2.0015	0.1042566	
2.00155	0.1044234	
2.0016	0.1045902	
2.00165	0.104757	
2.0017	0.1049239	
2.00175	0.1050908	
2.0018	0.1052577	
2.00185	0.1054245	
2.0019	0.1055914	
2.00195	0.1057581	
2.002	0.1059247	
2.00205	0.1060913	
2.0021	0.1062576	
2.00215	0.1064239	
2.0022	0.1065901	
2.00225	0.1067561	
2.0023	0.1069219	
2.00235	0.1070877	
2.0024	0.1072533	
2.00245	0.1074187	
2.0025	0.1075841	
2.00255	0.1077494	
2.0026	0.1079146	
2.00265	0.1080797	
2.0027	0.1082447	
2.00275	0.1084098	
2.0028	0.1085749	
2.00285	0.10874	
2.0029	0.1089052	
2.00295	0.1090704	
2.003	0.1092358	
2.00305	0.1094012	
2.0031	0.1095667	
2.00315	0.1097322	
2.0032	0.1098978	
2.00325	0.1100634	
2.0033	0.1102292	
2.00335	0.1103949	
2.0034	0.1105605	
2.00345	0.1107262	
2.0035	0.1108917	
2.00355	0.1110571	
2.0036	0.1112224	
2.00365	0.1113875	
2.0037	0.1115525	
2.00375	0.1117174	
2.0038	0.1118821	
2.00385	0.1120468	
2.0039	0.1122112	
2.00395	0.1123756	
2.004	0.1125398	
2.00405	0.1127039	
2.0041	0.112868	
2.00415	0.113032	
2.0042	0.113196	
2.00425	0.11336	
2.0043	0.1135239	
2.00435	0.1136879	
2.0044	0.1138518	
2.00445	0.1140158	
2.0045	0.1141799	
2.00455	0.114344	
2.0046	0.1145082	
2.00465	0.1146725	
2.0047	0.1148368	
2.00475	0.1150012	
2.0048	0.1151657	
2.00485	0.1153302	
2.0049	0.1154947	
2.00495	0.1156592	
2.005	0.1158236	
2.00505	0.115988	
2.0051	0.1161523	
2.00515	0.1163165	
2.0052	0.1164805	
2.00525	0.1166444	
2.0053	0.1168082	
2.00535	0.1169718	
2.0054	0.1171352	
2.00545	0.1172985	
2.0055	0.1174617	
2.00555	0.1176247	
2.0056	0.1177877	
2.00565	0.1179505	
2.0057	0.1181133	
2.00575	0.1182761	
2.0058	0.1184387	
2.00585	0.1186014	
2.0059	0.1187641	
2.00595	0.1189269	
2.006	0.1190897	
2.00605	0.1192526	
2.0061	0.1194155	
2.00615	0.1195785	
2.0062	0.1197417	
2.00625	0.1199049	
2.0063	0.1200681	
2.00635	0.1202314	
2.0064	0.1203947	
2.00645	0.120558	
2.0065	0.1207213	
2.00655	0.1208847	
2.0066	0.1210479	
2.00665	0.121211	
2.0067	0.121374	
2.00675	0.1215369	
2.0068	0.1216997	
2.00685	0.1218623	
2.0069	0.1220248	
2.00695	0.1221872	
2.007	0.1223495	
2.00705	0.1225116	
2.0071	0.1226735	
2.00715	0.1228354	
2.0072	0.1229973	
2.00725	0.123159	
2.0073	0.1233206	
2.00735	0.1234823	
2.0074	0.1236439	
2.00745	0.1238055	
2.0075	0.1239671	
2.00755	0.1241288	
2.0076	0.1242905	
2.00765	0.1244522	
2.0077	0.124614	
2.00775	0.1247759	
2.0078	0.1249379	
2.00785	0.1250999	
2.0079	0.125262	
2.00795	0.1254242	
2.008	0.1255863	
2.00805	0.1257485	
2.0081	0.1259107	
2.00815	0.1260727	
2.0082	0.1262347	
2.00825	0.1263966	
2.0083	0.1265584	
2.00835	0.1267201	
2.0084	0.1268817	
