Time	LH_HipZ	
2	0.0973761	
2.00005	0.09754583	
2.0001	0.09771561	
2.00015	0.09788536	
2.0002	0.09805509	
2.00025	0.09822477	
2.0003	0.09839443	
2.00035	0.09856397	
2.0004	0.0987334	
2.00045	0.09890267	
2.0005	0.09907179	
2.00055	0.09924073	
2.0006	0.09940949	
2.00065	0.09957808	
2.0007	0.09974644	
2.00075	0.09991464	
2.0008	0.1000827	
2.00085	0.1002505	
2.0009	0.1004182	
2.00095	0.1005857	
2.001	0.100753	
2.00105	0.1009203	
2.0011	0.1010874	
2.00115	0.1012545	
2.0012	0.1014216	
2.00125	0.1015886	
2.0013	0.1017557	
2.00135	0.1019228	
2.0014	0.1020899	
2.00145	0.102257	
2.0015	0.1024243	
2.00155	0.1025916	
2.0016	0.102759	
2.00165	0.1029264	
2.0017	0.103094	
2.00175	0.1032615	
2.0018	0.1034291	
2.00185	0.1035967	
2.0019	0.1037642	
2.00195	0.1039317	
2.002	0.1040991	
2.00205	0.1042664	
2.0021	0.1044336	
2.00215	0.1046007	
2.0022	0.1047675	
2.00225	0.1049343	
2.0023	0.1051008	
2.00235	0.1052672	
2.0024	0.1054335	
2.00245	0.1055997	
2.0025	0.1057658	
2.00255	0.1059318	
2.0026	0.1060977	
2.00265	0.1062637	
2.0027	0.1064295	
2.00275	0.1065954	
2.0028	0.1067612	
2.00285	0.106927	
2.0029	0.1070929	
2.00295	0.1072588	
2.003	0.1074248	
2.00305	0.1075909	
2.0031	0.1077571	
2.00315	0.1079233	
2.0032	0.1080895	
2.00325	0.1082558	
2.0033	0.1084221	
2.00335	0.1085884	
2.0034	0.1087548	
2.00345	0.1089212	
2.0035	0.1090875	
2.00355	0.1092536	
2.0036	0.1094197	
2.00365	0.1095856	
2.0037	0.1097515	
2.00375	0.1099172	
2.0038	0.1100827	
2.00385	0.1102481	
2.0039	0.1104133	
2.00395	0.1105784	
2.004	0.1107434	
2.00405	0.1109082	
2.0041	0.111073	
2.00415	0.1112377	
2.0042	0.1114023	
2.00425	0.1115668	
2.0043	0.1117314	
2.00435	0.1118959	
2.0044	0.1120605	
2.00445	0.1122252	
2.0045	0.1123898	
2.00455	0.1125546	
2.0046	0.1127193	
2.00465	0.1128841	
2.0047	0.1130491	
2.00475	0.1132141	
2.0048	0.1133791	
2.00485	0.1135442	
2.0049	0.1137093	
2.00495	0.1138744	
2.005	0.1140395	
2.00505	0.1142046	
2.0051	0.1143695	
2.00515	0.1145343	
2.0052	0.1146991	
2.00525	0.1148638	
2.0053	0.1150283	
2.00535	0.1151927	
2.0054	0.115357	
2.00545	0.115521	
2.0055	0.1156849	
2.00555	0.1158487	
2.0056	0.1160124	
2.00565	0.116176	
2.0057	0.1163395	
2.00575	0.1165029	
2.0058	0.1166662	
2.00585	0.1168295	
2.0059	0.1169928	
2.00595	0.1171562	
2.006	0.1173196	
2.00605	0.1174831	
2.0061	0.1176467	
2.00615	0.1178103	
2.0062	0.117974	
2.00625	0.1181377	
2.0063	0.1183014	
2.00635	0.1184652	
2.0064	0.1186291	
2.00645	0.118793	
2.0065	0.118957	
2.00655	0.1191209	
2.0066	0.1192847	
2.00665	0.1194485	
2.0067	0.1196122	
2.00675	0.1197758	
2.0068	0.1199392	
2.00685	0.1201025	
2.0069	0.1202657	
2.00695	0.1204287	
2.007	0.1205915	
2.00705	0.1207543	
2.0071	0.1209169	
2.00715	0.1210794	
2.0072	0.1212418	
2.00725	0.1214042	
2.0073	0.1215665	
2.00735	0.1217287	
2.0074	0.1218909	
2.00745	0.1220531	
2.0075	0.1222153	
2.00755	0.1223776	
2.0076	0.12254	
2.00765	0.1227024	
2.0077	0.1228649	
2.00775	0.1230274	
2.0078	0.12319	
2.00785	0.1233526	
2.0079	0.1235153	
2.00795	0.1236781	
2.008	0.123841	
2.00805	0.1240038	
2.0081	0.1241667	
2.00815	0.1243294	
2.0082	0.124492	
2.00825	0.1246546	
2.0083	0.124817	
2.00835	0.1249793	
2.0084	0.1251415	
2.00845	0.1253036	
2.0085	0.1254656	
2.00855	0.1256274	
2.0086	0.1257891	
2.00865	0.1259506	
2.0087	0.1261121	
2.00875	0.1262734	
2.0088	0.1264346	
2.00885	0.1265958	
2.0089	0.1267569	
2.00895	0.1269179	
2.009	0.1270791	
2.00905	0.1272402	
2.0091	0.1274013	
2.00915	0.1275625	
2.0092	0.1277237	
2.00925	0.127885	
2.0093	0.1280464	
2.00935	0.1282079	
2.0094	0.1283694	
2.00945	0.128531	
2.0095	0.1286926	
2.00955	0.1288542	
2.0096	0.1290159	
2.00965	0.1291775	
2.0097	0.1293392	
2.00975	0.1295007	
2.0098	0.1296622	
2.00985	0.1298236	
2.0099	0.1299849	
2.00995	0.130146	
2.01	0.1303071	
2.01005	0.130468	
2.0101	0.1306287	
2.01015	0.1307893	
2.0102	0.1309498	
2.01025	0.1311101	
2.0103	0.1312705	
2.01035	0.1314307	
2.0104	0.1315909	
2.01045	0.131751	
2.0105	0.1319111	
2.01055	0.1320712	
2.0106	0.1322313	
2.01065	0.1323914	
2.0107	0.1325515	
2.01075	0.1327117	
2.0108	0.132872	
2.01085	0.1330323	
2.0109	0.1331927	
2.01095	0.1333531	
2.011	0.1335136	
2.01105	0.1336741	
2.0111	0.1338347	
2.01115	0.1339953	
2.0112	0.134156	
2.01125	0.1343166	
2.0113	0.1344772	
2.01135	0.1346376	
2.0114	0.134798	
2.01145	0.1349583	
2.0115	0.1351185	
2.01155	0.1352786	
2.0116	0.1354385	
2.01165	0.1355983	
2.0117	0.1357579	
2.01175	0.1359174	
2.0118	0.1360768	
2.01185	0.136236	
2.0119	0.1363951	
2.01195	0.1365542	
2.012	0.1367131	
2.01205	0.1368721	
2.0121	0.137031	
2.01215	0.1371899	
2.0122	0.1373489	
2.01225	0.137508	
2.0123	0.1376671	
2.01235	0.1378262	
2.0124	0.1379854	
2.01245	0.1381448	
2.0125	0.1383041	
2.01255	0.1384635	
2.0126	0.138623	
2.01265	0.1387825	
2.0127	0.1389421	
2.01275	0.1391018	
2.0128	0.1392614	
2.01285	0.139421	
2.0129	0.1395804	
2.01295	0.1397399	
2.013	0.1398992	
2.01305	0.1400583	
2.0131	0.1402174	
2.01315	0.1403763	
2.0132	0.1405351	
2.01325	0.1406937	
2.0133	0.1408522	
2.01335	0.1410106	
2.0134	0.1411688	
2.01345	0.141327	
2.0135	0.1414851	
2.01355	0.1416431	
2.0136	0.1418011	
2.01365	0.1419592	
2.0137	0.1421171	
2.01375	0.1422751	
2.0138	0.1424331	
2.01385	0.1425912	
2.0139	0.1427492	
2.01395	0.1429074	
2.014	0.1430656	
2.01405	0.1432239	
2.0141	0.1433822	
2.01415	0.1435406	
2.0142	0.1436991	
2.01425	0.1438576	
2.0143	0.1440162	
2.01435	0.1441747	
2.0144	0.1443333	
2.01445	0.1444918	
2.0145	0.1446502	
2.01455	0.1448085	
2.0146	0.1449666	
2.01465	0.1451247	
2.0147	0.1452826	
2.01475	0.1454404	
2.0148	0.1455981	
2.01485	0.1457557	
2.0149	0.1459131	
2.01495	0.1460705	
2.015	0.1462277	
2.01505	0.1463848	
2.0151	0.1465419	
2.01515	0.1466989	
2.0152	0.1468559	
2.01525	0.1470128	
2.0153	0.1471698	
2.01535	0.1473268	
2.0154	0.1474839	
2.01545	0.1476411	
2.0155	0.1477983	
2.01555	0.1479556	
2.0156	0.148113	
2.01565	0.1482704	
2.0157	0.1484279	
2.01575	0.1485854	
2.0158	0.148743	
2.01585	0.1489006	
2.0159	0.1490582	
2.01595	0.1492158	
2.016	0.1493734	
2.01605	0.1495309	
2.0161	0.1496883	
2.01615	0.1498456	
2.0162	0.1500028	
2.01625	0.1501599	
2.0163	0.1503168	
2.01635	0.1504736	
2.0164	0.1506303	
2.01645	0.1507869	
2.0165	0.1509432	
2.01655	0.1510995	
2.0166	0.1512557	
2.01665	0.1514118	
2.0167	0.1515679	
2.01675	0.1517239	
2.0168	0.1518799	
2.01685	0.1520359	
2.0169	0.1521919	
2.01695	0.1523479	
2.017	0.152504	
2.01705	0.1526601	
2.0171	0.1528163	
2.01715	0.1529726	
2.0172	0.1531289	
2.01725	0.1532854	
2.0173	0.1534419	
2.01735	0.1535985	
2.0174	0.1537552	
2.01745	0.1539119	
2.0175	0.1540685	
2.01755	0.1542251	
2.0176	0.1543817	
2.01765	0.1545381	
2.0177	0.1546945	
2.01775	0.1548507	
2.0178	0.1550068	
2.01785	0.1551629	
2.0179	0.1553187	
2.01795	0.1554745	
2.018	0.1556302	
2.01805	0.1557857	
2.0181	0.1559411	
2.01815	0.1560964	
2.0182	0.1562516	
2.01825	0.1564067	
2.0183	0.1565619	
2.01835	0.156717	
2.0184	0.1568721	
2.01845	0.1570272	
2.0185	0.1571824	
2.01855	0.1573376	
2.0186	0.1574928	
2.01865	0.1576482	
2.0187	0.1578036	
2.01875	0.157959	
2.0188	0.1581145	
2.01885	0.15827	
2.0189	0.1584256	
2.01895	0.1585813	
2.019	0.158737	
2.01905	0.1588927	
2.0191	0.1590484	
2.01915	0.1592041	
2.0192	0.1593597	
2.01925	0.1595152	
2.0193	0.1596706	
2.01935	0.1598258	
2.0194	0.159981	
2.01945	0.1601359	
2.0195	0.1602908	
2.01955	0.1604455	
2.0196	0.1606001	
2.01965	0.1607546	
2.0197	0.160909	
2.01975	0.1610634	
2.0198	0.1612176	
2.01985	0.1613719	
2.0199	0.1615261	
2.01995	0.1616803	
2.02	0.1618345	
2.02005	0.1619886	
2.0201	0.1621429	
2.02015	0.1622971	
2.0202	0.1624514	
2.02025	0.1626058	
2.0203	0.1627602	
2.02035	0.1629147	
2.0204	0.1630693	
2.02045	0.1632239	
2.0205	0.1633786	
2.02055	0.1635333	
2.0206	0.163688	
2.02065	0.1638428	
2.0207	0.1639975	
2.02075	0.1641522	
2.0208	0.1643068	
2.02085	0.1644612	
2.0209	0.1646155	
2.02095	0.1647698	
2.021	0.1649239	
2.02105	0.1650779	
2.0211	0.1652318	
2.02115	0.1653857	
2.0212	0.1655394	
2.02125	0.1656931	
2.0213	0.1658466	
2.02135	0.1660001	
2.0214	0.1661536	
2.02145	0.166307	
2.0215	0.1664603	
2.02155	0.1666136	
2.0216	0.166767	
2.02165	0.1669203	
2.0217	0.1670738	
2.02175	0.1672272	
2.0218	0.1673807	
2.02185	0.1675343	
2.0219	0.167688	
2.02195	0.1678417	
2.022	0.1679954	
2.02205	0.1681492	
2.0221	0.168303	
2.02215	0.1684568	
2.0222	0.1686107	
2.02225	0.1687645	
2.0223	0.1689183	
2.02235	0.1690721	
2.0224	0.1692258	
2.02245	0.1693793	
2.0225	0.1695328	
2.02255	0.1696861	
2.0226	0.1698393	
2.02265	0.1699924	
2.0227	0.1701454	
2.02275	0.1702984	
2.0228	0.1704511	
2.02285	0.1706038	
2.0229	0.1707564	
2.02295	0.170909	
2.023	0.1710615	
2.02305	0.171214	
2.0231	0.1713664	
2.02315	0.1715188	
2.0232	0.1716713	
2.02325	0.1718238	
2.0233	0.1719763	
2.02335	0.1721288	
2.0234	0.1722814	
2.02345	0.1724341	
2.0235	0.1725868	
2.02355	0.1727396	
2.0236	0.1728925	
2.02365	0.1730455	
2.0237	0.1731985	
2.02375	0.1733515	
2.0238	0.1735045	
2.02385	0.1736575	
2.0239	0.1738105	
2.02395	0.1739634	
2.024	0.1741162	
2.02405	0.1742689	
2.0241	0.1744214	
2.02415	0.1745739	
2.0242	0.1747263	
2.02425	0.1748785	
2.0243	0.1750306	
2.02435	0.1751826	
2.0244	0.1753344	
2.02445	0.1754862	
2.0245	0.1756379	
2.02455	0.1757895	
2.0246	0.1759411	
2.02465	0.1760927	
2.0247	0.1762443	
2.02475	0.1763959	
2.0248	0.1765476	
2.02485	0.1766992	
2.0249	0.1768509	
