Time	LH_HipZ	
3	0.1248853	
3.00005	0.1250552	
3.0001	0.1252251	
3.00015	0.1253949	
3.0002	0.1255647	
3.00025	0.1257344	
3.0003	0.1259041	
3.00035	0.1260737	
3.0004	0.1262433	
3.00045	0.1264129	
3.0005	0.1265824	
3.00055	0.1267519	
3.0006	0.1269213	
3.00065	0.1270907	
3.0007	0.1272601	
3.00075	0.1274294	
3.0008	0.1275986	
3.00085	0.1277679	
3.0009	0.127937	
3.00095	0.1281062	
3.001	0.1282753	
3.00105	0.1284443	
3.0011	0.1286134	
3.00115	0.1287823	
3.0012	0.1289513	
3.00125	0.1291202	
3.0013	0.129289	
3.00135	0.1294579	
3.0014	0.1296266	
3.00145	0.1297954	
3.0015	0.129964	
3.00155	0.1301327	
3.0016	0.1303013	
3.00165	0.1304699	
3.0017	0.1306384	
3.00175	0.1308069	
3.0018	0.1309753	
3.00185	0.1311437	
3.0019	0.1313121	
3.00195	0.1314804	
3.002	0.1316487	
3.00205	0.1318169	
3.0021	0.1319851	
3.00215	0.1321532	
3.0022	0.1323214	
3.00225	0.1324894	
3.0023	0.1326575	
3.00235	0.1328255	
3.0024	0.1329934	
3.00245	0.1331613	
3.0025	0.1333292	
3.00255	0.133497	
3.0026	0.1336648	
3.00265	0.1338326	
3.0027	0.1340003	
3.00275	0.134168	
3.0028	0.1343356	
3.00285	0.1345032	
3.0029	0.1346708	
3.00295	0.1348383	
3.003	0.1350057	
3.00305	0.1351732	
3.0031	0.1353406	
3.00315	0.1355079	
3.0032	0.1356752	
3.00325	0.1358425	
3.0033	0.1360098	
3.00335	0.1361769	
3.0034	0.1363441	
3.00345	0.1365112	
3.0035	0.1366783	
3.00355	0.1368453	
3.0036	0.1370123	
3.00365	0.1371793	
3.0037	0.1373462	
3.00375	0.1375131	
3.0038	0.1376799	
3.00385	0.1378467	
3.0039	0.1380135	
3.00395	0.1381802	
3.004	0.1383469	
3.00405	0.1385136	
3.0041	0.1386802	
3.00415	0.1388467	
3.0042	0.1390133	
3.00425	0.1391798	
3.0043	0.1393462	
3.00435	0.1395126	
3.0044	0.139679	
3.00445	0.1398453	
3.0045	0.1400116	
3.00455	0.1401779	
3.0046	0.1403441	
3.00465	0.1405103	
3.0047	0.1406764	
3.00475	0.1408425	
3.0048	0.1410086	
3.00485	0.1411746	
3.0049	0.1413406	
3.00495	0.1415065	
3.005	0.1416724	
3.00505	0.1418383	
3.0051	0.1420041	
3.00515	0.1421699	
3.0052	0.1423357	
3.00525	0.1425014	
3.0053	0.1426671	
3.00535	0.1428327	
3.0054	0.1429984	
3.00545	0.1431639	
3.0055	0.1433294	
3.00555	0.1434949	
3.0056	0.1436604	
3.00565	0.1438258	
3.0057	0.1439912	
3.00575	0.1441565	
3.0058	0.1443218	
3.00585	0.1444871	
3.0059	0.1446523	
3.00595	0.1448175	
3.006	0.1449827	
3.00605	0.1451478	
3.0061	0.1453129	
3.00615	0.1454779	
3.0062	0.1456429	
3.00625	0.1458079	
3.0063	0.1459728	
3.00635	0.1461377	
3.0064	0.1463026	
3.00645	0.1464674	
3.0065	0.1466322	
3.00655	0.1467969	
3.0066	0.1469616	
3.00665	0.1471263	
3.0067	0.1472909	
3.00675	0.1474555	
3.0068	0.1476201	
3.00685	0.1477846	
3.0069	0.1479491	
3.00695	0.1481135	
3.007	0.1482779	
3.00705	0.1484423	
3.0071	0.1486066	
3.00715	0.1487709	
3.0072	0.1489352	
3.00725	0.1490994	
3.0073	0.1492636	
3.00735	0.1494277	
3.0074	0.1495918	
3.00745	0.1497559	
3.0075	0.14992	
3.00755	0.150084	
3.0076	0.150248	
3.00765	0.1504119	
3.0077	0.1505758	
3.00775	0.1507397	
3.0078	0.1509035	
3.00785	0.1510673	
3.0079	0.151231	
3.00795	0.1513947	
3.008	0.1515584	
3.00805	0.151722	
3.0081	0.1518857	
3.00815	0.1520492	
3.0082	0.1522128	
3.00825	0.1523763	
3.0083	0.1525397	
3.00835	0.1527032	
3.0084	0.1528665	
3.00845	0.1530299	
3.0085	0.1531932	
3.00855	0.1533565	
3.0086	0.1535197	
3.00865	0.153683	
3.0087	0.1538461	
3.00875	0.1540093	
3.0088	0.1541724	
3.00885	0.1543355	
3.0089	0.1544985	
3.00895	0.1546615	
3.009	0.1548245	
3.00905	0.1549874	
3.0091	0.1551503	
3.00915	0.1553131	
3.0092	0.155476	
3.00925	0.1556388	
3.0093	0.1558015	
3.00935	0.1559642	
3.0094	0.1561269	
3.00945	0.1562896	
3.0095	0.1564522	
3.00955	0.1566148	
3.0096	0.1567773	
3.00965	0.1569398	
3.0097	0.1571023	
3.00975	0.1572647	
3.0098	0.1574271	
3.00985	0.1575895	
3.0099	0.1577518	
3.00995	0.1579141	
3.01	0.1580764	
3.01005	0.1582386	
3.0101	0.1584008	
3.01015	0.1585629	
3.0102	0.1587251	
3.01025	0.1588872	
3.0103	0.1590492	
3.01035	0.1592112	
3.0104	0.1593732	
3.01045	0.1595352	
3.0105	0.1596971	
3.01055	0.159859	
3.0106	0.1600208	
3.01065	0.1601826	
3.0107	0.1603444	
3.01075	0.1605061	
3.0108	0.1606679	
3.01085	0.1608295	
3.0109	0.1609912	
3.01095	0.1611528	
3.011	0.1613144	
3.01105	0.1614759	
3.0111	0.1616374	
3.01115	0.1617989	
3.0112	0.1619603	
3.01125	0.1621217	
3.0113	0.1622831	
3.01135	0.1624444	
3.0114	0.1626057	
3.01145	0.162767	
3.0115	0.1629282	
3.01155	0.1630894	
3.0116	0.1632506	
3.01165	0.1634117	
3.0117	0.1635728	
3.01175	0.1637339	
3.0118	0.1638949	
3.01185	0.1640559	
3.0119	0.1642169	
3.01195	0.1643778	
3.012	0.1645387	
3.01205	0.1646995	
3.0121	0.1648604	
3.01215	0.1650212	
3.0122	0.1651819	
3.01225	0.1653426	
3.0123	0.1655033	
3.01235	0.165664	
3.0124	0.1658246	
3.01245	0.1659852	
3.0125	0.1661458	
3.01255	0.1663063	
3.0126	0.1664668	
3.01265	0.1666273	
3.0127	0.1667877	
3.01275	0.1669481	
3.0128	0.1671085	
3.01285	0.1672688	
3.0129	0.1674291	
3.01295	0.1675894	
3.013	0.1677496	
3.01305	0.1679098	
3.0131	0.16807	
3.01315	0.1682301	
3.0132	0.1683902	
3.01325	0.1685503	
3.0133	0.1687104	
3.01335	0.1688704	
3.0134	0.1690303	
3.01345	0.1691903	
3.0135	0.1693502	
3.01355	0.1695101	
3.0136	0.1696699	
3.01365	0.1698297	
3.0137	0.1699895	
3.01375	0.1701492	
3.0138	0.1703089	
3.01385	0.1704686	
3.0139	0.1706283	
3.01395	0.1707879	
3.014	0.1709475	
3.01405	0.1711071	
3.0141	0.1712666	
3.01415	0.1714261	
3.0142	0.1715855	
3.01425	0.1717449	
3.0143	0.1719043	
3.01435	0.1720637	
3.0144	0.172223	
