Time	LH_HipZ	
3	-0.2091361	
3.00005	-0.2092885	
3.0001	-0.2094409	
3.00015	-0.2095933	
3.0002	-0.2097455	
3.00025	-0.2098977	
3.0003	-0.2100499	
3.00035	-0.2102019	
3.0004	-0.2103539	
3.00045	-0.2105059	
3.0005	-0.2106578	
3.00055	-0.2108096	
3.0006	-0.2109613	
3.00065	-0.211113	
3.0007	-0.2112646	
3.00075	-0.2114162	
3.0008	-0.2115677	
3.00085	-0.2117191	
3.0009	-0.2118705	
3.00095	-0.2120218	
3.001	-0.212173	
3.00105	-0.2123242	
3.0011	-0.2124753	
3.00115	-0.2126264	
3.0012	-0.2127774	
3.00125	-0.2129283	
3.0013	-0.2130792	
3.00135	-0.21323	
3.0014	-0.2133807	
3.00145	-0.2135314	
3.0015	-0.213682	
3.00155	-0.2138326	
3.0016	-0.213983	
3.00165	-0.2141335	
3.0017	-0.2142838	
3.00175	-0.2144341	
3.0018	-0.2145844	
3.00185	-0.2147345	
3.0019	-0.2148847	
3.00195	-0.2150347	
3.002	-0.2151847	
3.00205	-0.2153346	
3.0021	-0.2154845	
3.00215	-0.2156343	
3.0022	-0.215784	
3.00225	-0.2159337	
3.0023	-0.2160833	
3.00235	-0.2162329	
3.0024	-0.2163824	
3.00245	-0.2165318	
3.0025	-0.2166812	
3.00255	-0.2168305	
3.0026	-0.2169797	
3.00265	-0.2171289	
3.0027	-0.217278	
3.00275	-0.2174271	
3.0028	-0.2175761	
3.00285	-0.2177251	
3.0029	-0.2178739	
3.00295	-0.2180228	
3.003	-0.2181715	
3.00305	-0.2183202	
3.0031	-0.2184689	
3.00315	-0.2186175	
3.0032	-0.218766	
3.00325	-0.2189144	
3.0033	-0.2190628	
3.00335	-0.2192112	
3.0034	-0.2193595	
3.00345	-0.2195077	
3.0035	-0.2196559	
3.00355	-0.219804	
3.0036	-0.219952	
3.00365	-0.2201	
3.0037	-0.2202479	
3.00375	-0.2203958	
3.0038	-0.2205436	
3.00385	-0.2206914	
3.0039	-0.220839	
3.00395	-0.2209867	
3.004	-0.2211342	
3.00405	-0.2212818	
3.0041	-0.2214292	
3.00415	-0.2215766	
3.0042	-0.2217239	
3.00425	-0.2218712	
3.0043	-0.2220184	
3.00435	-0.2221656	
3.0044	-0.2223127	
3.00445	-0.2224597	
3.0045	-0.2226067	
3.00455	-0.2227536	
3.0046	-0.2229005	
3.00465	-0.2230473	
3.0047	-0.2231941	
3.00475	-0.2233408	
3.0048	-0.2234874	
3.00485	-0.223634	
3.0049	-0.2237805	
3.00495	-0.2239269	
3.005	-0.2240734	
3.00505	-0.2242197	
3.0051	-0.224366	
3.00515	-0.2245122	
3.0052	-0.2246584	
3.00525	-0.2248045	
3.0053	-0.2249506	
3.00535	-0.2250966	
3.0054	-0.2252425	
3.00545	-0.2253884	
3.0055	-0.2255342	
3.00555	-0.22568	
3.0056	-0.2258257	
3.00565	-0.2259714	
3.0057	-0.226117	
3.00575	-0.2262625	
3.0058	-0.226408	
3.00585	-0.2265534	
3.0059	-0.2266988	
3.00595	-0.2268441	
3.006	-0.2269894	
3.00605	-0.2271346	
3.0061	-0.2272797	
3.00615	-0.2274248	
3.0062	-0.2275698	
3.00625	-0.2277148	
3.0063	-0.2278598	
3.00635	-0.2280046	
3.0064	-0.2281494	
3.00645	-0.2282942	
3.0065	-0.2284389	
3.00655	-0.2285835	
3.0066	-0.2287281	
3.00665	-0.2288726	
3.0067	-0.2290171	
3.00675	-0.2291615	
3.0068	-0.2293059	
3.00685	-0.2294502	
3.0069	-0.2295945	
3.00695	-0.2297387	
3.007	-0.2298828	
3.00705	-0.2300269	
3.0071	-0.230171	
3.00715	-0.230315	
3.0072	-0.2304589	
3.00725	-0.2306028	
3.0073	-0.2307466	
3.00735	-0.2308903	
3.0074	-0.2310341	
3.00745	-0.2311777	
3.0075	-0.2313213	
3.00755	-0.2314648	
3.0076	-0.2316083	
3.00765	-0.2317518	
3.0077	-0.2318951	
3.00775	-0.2320385	
3.0078	-0.2321817	
3.00785	-0.2323249	
3.0079	-0.2324681	
3.00795	-0.2326112	
3.008	-0.2327542	
3.00805	-0.2328973	
3.0081	-0.2330402	
3.00815	-0.2331831	
3.0082	-0.2333259	
3.00825	-0.2334687	
3.0083	-0.2336114	
3.00835	-0.2337541	
3.0084	-0.2338967	
3.00845	-0.2340393	
3.0085	-0.2341818	
3.00855	-0.2343243	
3.0086	-0.2344667	
3.00865	-0.234609	
3.0087	-0.2347513	
3.00875	-0.2348936	
3.0088	-0.2350358	
3.00885	-0.2351779	
3.0089	-0.23532	
3.00895	-0.235462	
3.009	-0.235604	
3.00905	-0.2357459	
3.0091	-0.2358878	
3.00915	-0.2360296	
3.0092	-0.2361714	
3.00925	-0.2363131	
3.0093	-0.2364548	
3.00935	-0.2365964	
3.0094	-0.236738	
3.00945	-0.2368795	
3.0095	-0.237021	
3.00955	-0.2371624	
3.0096	-0.2373037	
3.00965	-0.237445	
3.0097	-0.2375863	
3.00975	-0.2377275	
3.0098	-0.2378686	
3.00985	-0.2380097	
3.0099	-0.2381507	
3.00995	-0.2382917	
3.01	-0.2384327	
3.01005	-0.2385736	
3.0101	-0.2387144	
3.01015	-0.2388552	
3.0102	-0.2389959	
3.01025	-0.2391366	
3.0103	-0.2392772	
3.01035	-0.2394178	
3.0104	-0.2395584	
3.01045	-0.2396988	
3.0105	-0.2398393	
3.01055	-0.2399796	
3.0106	-0.2401199	
3.01065	-0.2402602	
3.0107	-0.2404004	
3.01075	-0.2405406	
3.0108	-0.2406807	
3.01085	-0.2408208	
3.0109	-0.2409608	
3.01095	-0.2411008	
3.011	-0.2412407	
3.01105	-0.2413806	
3.0111	-0.2415204	
3.01115	-0.2416602	
3.0112	-0.2417999	
3.01125	-0.2419395	
3.0113	-0.2420792	
3.01135	-0.2422187	
3.0114	-0.2423583	
3.01145	-0.2424977	
3.0115	-0.2426371	
3.01155	-0.2427765	
3.0116	-0.2429158	
3.01165	-0.2430551	
3.0117	-0.2431943	
3.01175	-0.2433334	
3.0118	-0.2434726	
3.01185	-0.2436116	
3.0119	-0.2437506	
3.01195	-0.2438896	
3.012	-0.2440285	
3.01205	-0.2441674	
3.0121	-0.2443062	
3.01215	-0.244445	
3.0122	-0.2445837	
3.01225	-0.2447224	
3.0123	-0.244861	
3.01235	-0.2449996	
3.0124	-0.2451381	
3.01245	-0.2452766	
3.0125	-0.245415	
3.01255	-0.2455534	
3.0126	-0.2456917	
3.01265	-0.24583	
3.0127	-0.2459682	
3.01275	-0.2461064	
3.0128	-0.2462445	
3.01285	-0.2463826	
3.0129	-0.2465207	
3.01295	-0.2466587	
3.013	-0.2467966	
3.01305	-0.2469345	
3.0131	-0.2470723	
3.01315	-0.2472101	
3.0132	-0.2473479	
3.01325	-0.2474856	
3.0133	-0.2476232	
3.01335	-0.2477608	
3.0134	-0.2478984	
3.01345	-0.2480359	
3.0135	-0.2481734	
3.01355	-0.2483108	
3.0136	-0.2484481	
3.01365	-0.2485855	
3.0137	-0.2487227	
3.01375	-0.2488599	
3.0138	-0.2489971	
3.01385	-0.2491342	
3.0139	-0.2492713	
3.01395	-0.2494084	
3.014	-0.2495453	
3.01405	-0.2496823	
3.0141	-0.2498192	
3.01415	-0.249956	
3.0142	-0.2500928	
3.01425	-0.2502296	
3.0143	-0.2503663	
3.01435	-0.2505029	
3.0144	-0.2506395	
3.01445	-0.2507761	
3.0145	-0.2509126	
3.01455	-0.2510491	
3.0146	-0.2511855	
3.01465	-0.2513219	
3.0147	-0.2514582	
3.01475	-0.2515945	
3.0148	-0.2517307	
