Time	LH_HipZ	
3	0.124885	
3.00005	0.1250549	
3.0001	0.1252248	
3.00015	0.1253946	
3.0002	0.1255644	
3.00025	0.1257341	
3.0003	0.1259038	
3.00035	0.1260734	
3.0004	0.126243	
3.00045	0.1264126	
3.0005	0.1265821	
3.00055	0.1267516	
3.0006	0.126921	
3.00065	0.1270904	
3.0007	0.1272597	
3.00075	0.1274291	
3.0008	0.1275983	
3.00085	0.1277675	
3.0009	0.1279367	
3.00095	0.1281059	
3.001	0.128275	
3.00105	0.128444	
3.0011	0.128613	
3.00115	0.128782	
3.0012	0.128951	
3.00125	0.1291199	
3.0013	0.1292887	
3.00135	0.1294575	
3.0014	0.1296263	
3.00145	0.129795	
3.0015	0.1299637	
3.00155	0.1301324	
3.0016	0.130301	
3.00165	0.1304695	
3.0017	0.1306381	
3.00175	0.1308066	
3.0018	0.130975	
3.00185	0.1311434	
3.0019	0.1313117	
3.00195	0.1314801	
3.002	0.1316483	
3.00205	0.1318166	
3.0021	0.1319848	
3.00215	0.1321529	
3.0022	0.1323211	
3.00225	0.1324891	
3.0023	0.1326572	
3.00235	0.1328252	
3.0024	0.1329931	
3.00245	0.133161	
3.0025	0.1333289	
3.00255	0.1334968	
3.0026	0.1336646	
3.00265	0.1338323	
3.0027	0.134	
3.00275	0.1341677	
3.0028	0.1343353	
3.00285	0.1345029	
3.0029	0.1346705	
3.00295	0.134838	
3.003	0.1350055	
3.00305	0.1351729	
3.0031	0.1353403	
3.00315	0.1355077	
3.0032	0.135675	
3.00325	0.1358423	
3.0033	0.1360095	
3.00335	0.1361767	
3.0034	0.1363439	
3.00345	0.136511	
3.0035	0.1366781	
3.00355	0.1368451	
3.0036	0.1370121	
3.00365	0.1371791	
3.0037	0.137346	
3.00375	0.1375129	
3.0038	0.1376797	
3.00385	0.1378465	
3.0039	0.1380133	
3.00395	0.13818	
3.004	0.1383467	
3.00405	0.1385133	
3.0041	0.1386799	
3.00415	0.1388465	
3.0042	0.139013	
3.00425	0.1391795	
3.0043	0.139346	
3.00435	0.1395124	
3.0044	0.1396787	
3.00445	0.1398451	
3.0045	0.1400114	
3.00455	0.1401776	
3.0046	0.1403439	
3.00465	0.14051	
3.0047	0.1406762	
3.00475	0.1408423	
3.0048	0.1410084	
3.00485	0.1411744	
3.0049	0.1413404	
3.00495	0.1415063	
3.005	0.1416722	
3.00505	0.1418381	
3.0051	0.1420039	
3.00515	0.1421697	
3.0052	0.1423355	
3.00525	0.1425012	
3.0053	0.1426669	
3.00535	0.1428325	
3.0054	0.1429981	
3.00545	0.1431637	
3.0055	0.1433292	
3.00555	0.1434947	
3.0056	0.1436602	
3.00565	0.1438256	
3.0057	0.143991	
3.00575	0.1441563	
3.0058	0.1443216	
3.00585	0.1444869	
3.0059	0.1446521	
3.00595	0.1448173	
3.006	0.1449825	
3.00605	0.1451476	
3.0061	0.1453127	
3.00615	0.1454777	
3.0062	0.1456427	
3.00625	0.1458077	
3.0063	0.1459726	
3.00635	0.1461375	
3.0064	0.1463023	
3.00645	0.1464671	
3.0065	0.1466319	
3.00655	0.1467967	
3.0066	0.1469614	
3.00665	0.147126	
3.0067	0.1472907	
3.00675	0.1474552	
3.0068	0.1476198	
3.00685	0.1477843	
3.0069	0.1479488	
3.00695	0.1481133	
3.007	0.1482777	
3.00705	0.148442	
3.0071	0.1486064	
3.00715	0.1487707	
3.0072	0.1489349	
3.00725	0.1490992	
3.0073	0.1492634	
3.00735	0.1494275	
3.0074	0.1495916	
3.00745	0.1497557	
3.0075	0.1499197	
3.00755	0.1500838	
3.0076	0.1502477	
3.00765	0.1504117	
3.0077	0.1505756	
3.00775	0.1507394	
3.0078	0.1509033	
3.00785	0.151067	
3.0079	0.1512308	
