Time	LH_HipZ	
3	-0.2091355	
3.00005	-0.209288	
3.0001	-0.2094404	
3.00015	-0.2095927	
3.0002	-0.209745	
3.00025	-0.2098972	
3.0003	-0.2100493	
3.00035	-0.2102014	
3.0004	-0.2103534	
3.00045	-0.2105054	
3.0005	-0.2106573	
3.00055	-0.2108091	
3.0006	-0.2109608	
3.00065	-0.2111125	
3.0007	-0.2112641	
3.00075	-0.2114157	
3.0008	-0.2115672	
3.00085	-0.2117186	
3.0009	-0.21187	
3.00095	-0.2120213	
3.001	-0.2121725	
3.00105	-0.2123237	
3.0011	-0.2124748	
3.00115	-0.2126259	
3.0012	-0.2127769	
3.00125	-0.2129278	
3.0013	-0.2130786	
3.00135	-0.2132294	
3.0014	-0.2133802	
3.00145	-0.2135308	
3.0015	-0.2136814	
3.00155	-0.213832	
3.0016	-0.2139825	
3.00165	-0.2141329	
3.0017	-0.2142833	
3.00175	-0.2144336	
3.0018	-0.2145838	
3.00185	-0.214734	
3.0019	-0.2148841	
3.00195	-0.2150342	
3.002	-0.2151841	
3.00205	-0.2153341	
3.0021	-0.2154839	
3.00215	-0.2156337	
3.0022	-0.2157835	
3.00225	-0.2159332	
3.0023	-0.2160828	
3.00235	-0.2162324	
3.0024	-0.2163818	
3.00245	-0.2165313	
3.0025	-0.2166806	
3.00255	-0.21683	
3.0026	-0.2169792	
3.00265	-0.2171284	
3.0027	-0.2172775	
3.00275	-0.2174266	
3.0028	-0.2175756	
3.00285	-0.2177245	
3.0029	-0.2178734	
3.00295	-0.2180223	
3.003	-0.218171	
3.00305	-0.2183197	
3.0031	-0.2184684	
3.00315	-0.218617	
3.0032	-0.2187655	
3.00325	-0.218914	
3.0033	-0.2190624	
3.00335	-0.2192107	
3.0034	-0.219359	
3.00345	-0.2195073	
3.0035	-0.2196554	
3.00355	-0.2198035	
3.0036	-0.2199516	
3.00365	-0.2200996	
3.0037	-0.2202475	
3.00375	-0.2203954	
3.0038	-0.2205432	
3.00385	-0.2206909	
3.0039	-0.2208386	
